% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,629.865081019,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,5,7366405.73521,1889.59524306,valid
3,120,74,3,2,40.0,24.6666666667,40.0,37.0,0,2,2295.925,0,0,3,120,74,3,2,40.0,24.6666666667,40.0,37.0,0,2,31,112871995.165,-363054169.229,valid
2,2,3,2,2,1.0,1.5,1.0,1.5,0,1,2455.85854167,0,0,2,2,3,2,2,1.0,1.5,1.0,1.5,0,1,13,-2453642.50818,-14724311.1379,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,88.9761226852,0,0,1,8,0,1,0,8.0,0.0,8.0,0,0,1,3,19648075.7389,711.808981482,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,624.829375,624.829375,624.829375,1,3,0,1,0,3.0,0.0,3.0,0,0,1,56,7366420.84233,1874.488125,valid
2,11,5,2,1,5.5,2.5,5.5,5.0,0,2,629.662916667,0,0,2,11,5,2,1,5.5,2.5,5.5,5.0,0,2,11,14718486.9517,-24536584.0965,valid
2,218,14,2,1,109.0,7.0,109.0,14.0,0,2,894.027384259,0,0,2,218,14,2,1,109.0,7.0,109.0,14.0,0,2,119,500473922.321,-68175563.5006,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,624.558055556,0,0,1,4,0,1,0,4.0,0.0,4.0,0,0,1,3,9821895.54171,2498.23222222,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,1036.91744213,0,0,1,1,0,1,0,1.0,0.0,1.0,0,0,1,12,2455061.52604,1036.91744213,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,1229.4,0,0,1,8,0,1,0,8.0,0.0,8.0,0,0,1,22,19638952.3479,9835.2,valid
2,2,17,2,2,1.0,8.5,1.0,8.5,0,1,81.2486805557,0,0,2,2,17,2,2,1.0,8.5,1.0,8.5,0,1,34,-36840257.6278,-83505803.02,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,91.7938078707,0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,91,0.0,-4912013.29935,valid
3,17,5,2,2,5.66666666667,1.66666666667,8.5,2.5,0,1,2457.9575463,0,0,3,17,5,2,2,5.66666666667,1.66666666667,8.5,2.5,0,1,42,29440445.071,-24503487.6556,valid
3,10,2,3,2,3.33333333333,0.666666666667,3.33333333333,1.0,0,3,1221.754375,0,0,3,10,2,3,2,3.33333333333,0.666666666667,3.33333333333,1.0,0,3,29,19633391.9833,-9801202.52707,valid
2,23,3,2,1,11.5,1.5,11.5,3.0,0,1,628.800972222,0,0,2,23,3,2,1,11.5,1.5,11.5,3.0,0,1,79,49091260.7852,-14702109.7706,valid
