% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,2,0,1,0,2.0,0.0,2.0,0,0,1,1464.26418981,0,0,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,1489.35450231,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1470.27423611,0,0,valid
20,203,81,20,18,10.15,4.05,10.15,4.5,4,2,954.943611111,1985.08414352,1985.08414352,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1464.26418981,0,0,valid
4,7,5,4,3,1.75,1.25,1.75,1.66666666667,1,2,2009.2706713,2009.2706713,2009.2706713,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1444.5590625,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1257.00019676,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2332.68083333,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1464.26418981,0,0,valid
3,19,1,3,1,6.33333333333,0.333333333333,6.33333333333,1.0,0,3,1384.50971065,0,0,valid
6,57,53,6,5,9.5,8.83333333333,9.5,10.6,4,2,1234.7718287,1234.7718287,508.501909722,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,2,2373.19247685,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2409.29038194,2409.29038194,2409.29038194,valid
2,7,1,2,1,3.5,0.5,3.5,1.0,1,1,2372.13634259,2372.13634259,487.120671296,valid
3,125,124,2,2,41.6666666667,41.3333333333,62.5,62.0,0,2,2335.12040509,0,0,valid
1,98,0,1,0,98.0,0.0,98.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
3,13,10,3,2,4.33333333333,3.33333333333,4.33333333333,5.0,0,2,1384.13849537,0,0,valid
2,5,2,2,1,2.5,1.0,2.5,2.0,0,2,1476.2997338,0,0,valid
2,44,5,2,1,22.0,2.5,22.0,5.0,0,1,1467.11511574,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2332.68083333,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2409.27612269,2409.27612269,2409.27612269,valid
13,21,20,10,8,1.61538461538,1.53846153846,2.1,2.5,3,4,2006.53748843,2007.2584375,2007.2584375,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
2,32,2,2,1,16.0,1.0,16.0,2.0,0,2,2613.98311343,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1478.85900463,0,0,valid
2,5,1,2,1,2.5,0.5,2.5,1.0,0,1,1470.01633102,0,0,valid
4,14,6,3,3,3.5,1.5,4.66666666667,2.0,0,1,2001.1053588,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1257.03306713,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1263.52679398,1263.52679398,1263.52679398,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1185.0459375,0,0,valid
1,29,0,1,0,29.0,0.0,29.0,0,0,1,2373.19247685,0,0,valid
2,12,1,2,1,6.0,0.5,6.0,1.0,0,2,1260.93979167,0,0,valid
1,18,0,1,0,18.0,0.0,18.0,0,0,1,1369.24126157,0,0,valid
2,3,1,1,1,1.5,0.5,3.0,1.0,0,1,2001.1053588,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,1994.77791667,0,0,valid
4,140,142,4,3,35.0,35.5,35.0,47.3333333333,0,1,1470.06449074,0,0,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1470.44597222,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
3,16,4,3,2,5.33333333333,1.33333333333,5.33333333333,2.0,0,1,1461.52804398,0,0,valid
3,23,0,3,0,7.66666666667,0.0,7.66666666667,0,0,1,1475.48752315,0,0,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,2358.73805556,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1462.55719907,0,0,valid
1,96,0,1,0,96.0,0.0,96.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
3,76,43,2,2,25.3333333333,14.3333333333,38.0,21.5,0,1,2360.1171875,0,0,valid
2,428,1,2,1,214.0,0.5,214.0,1.0,1,2,2599.95230324,3305.25856481,3305.25856481,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,3305.25856481,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1470.02033565,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1464.26418981,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1480.07983796,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,1478.56068287,2358.54172454,2358.54172454,valid
3,24,4,3,2,8.0,1.33333333333,8.0,2.0,0,2,2613.98311343,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2359.22571759,0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,2360.08206019,2360.08206019,2360.08206019,valid
2,7,0,2,0,3.5,0.0,3.5,0,1,2,1136.89813657,0,183.790324074,valid
4,144,7,4,3,36.0,1.75,36.0,2.33333333333,0,1,1470.06449074,0,0,valid
6,67,9,5,2,11.1666666667,1.5,13.4,4.5,0,2,1137.4915625,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1489.35450231,0,0,valid
2,12,8,2,1,6.0,4.0,6.0,8.0,0,1,2365.06840278,0,0,valid
1,28,0,1,0,28.0,0.0,28.0,0,0,1,2328.68873843,0,0,valid
3,12,2,3,2,4.0,0.666666666667,4.0,1.0,0,2,1485.15207176,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,1458.63547454,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,1458.63547454,0,0,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
8,45,30,6,4,5.625,3.75,7.5,7.5,0,4,1184.26484954,0,0,valid
19,99,56,19,18,5.21052631579,2.94736842105,5.21052631579,3.11111111111,5,4,954.943611111,1335.03137731,814.972569444,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,3303.51532407,3303.51532407,3303.51532407,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1444.5590625,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1464.26418981,0,0,valid
4,13,7,4,3,3.25,1.75,3.25,2.33333333333,0,2,1234.7718287,0,0,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,1234.15318287,0,0,valid
2,26,2,2,1,13.0,1.0,13.0,2.0,0,1,1463.5440162,0,0,valid
5,22,14,5,4,4.4,2.8,4.4,3.5,1,3,2599.50407407,3303.51532407,3303.51532407,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,2409.28606481,2409.28606481,2409.28606481,valid
5,34,3,5,3,6.8,0.6,6.8,1.0,0,3,1127.72768519,0,0,valid
5,15,8,5,4,3.0,1.6,3.0,2.0,0,2,2379.43298611,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1470.02033565,0,0,valid
2,4,2,2,1,2.0,1.0,2.0,2.0,0,1,2374.15715278,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,1,1,3143.31224537,3305.25856481,3305.25856481,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,1489.35450231,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1478.2319213,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2208.09392361,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1988.28042824,0,0,valid
1,2,2,1,1,2.0,2.0,2.0,2.0,0,1,2358.73805556,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1464.26418981,0,0,valid
2,3,3,2,2,1.5,1.5,1.5,1.5,1,1,2360.08206019,2360.08206019,2360.08206019,valid
4,13,7,4,3,3.25,1.75,3.25,2.33333333333,1,3,2334.08417824,0,493.001076389,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,3305.25856481,0,0,valid
2,7,1,2,1,3.5,0.5,3.5,1.0,0,2,949.680393518,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,3303.51532407,3303.51532407,3303.51532407,valid
5,33,23,5,3,6.6,4.6,6.6,7.66666666667,2,1,939.956319444,939.956319444,845.146770833,valid
1,23,0,1,0,23.0,0.0,23.0,0,0,1,1137.4915625,1137.4915625,1137.4915625,valid
9,58,19,9,7,6.44444444444,2.11111111111,6.44444444444,2.71428571429,3,4,939.910613426,2316.74002315,2316.74002315,valid
1,28,0,1,0,28.0,0.0,28.0,0,0,1,3305.25856481,3305.25856481,3305.25856481,valid
