% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,183,2,1,1,183.0,2.0,183.0,2.0,0,1,306,444453641.177,-9558433.3019,valid
1,231,2,1,1,231.0,2.0,231.0,2.0,0,1,306,562319800.163,-9488489.44856,valid
2,164,224,2,2,82.0,112.0,82.0,112.0,0,1,172,-147405059.391,-1100624791.88,valid
1,327,2,1,1,327.0,2.0,327.0,2.0,0,1,23,798266054.572,-9565171.24295,valid
3,253,82,3,3,84.3333333333,27.3333333333,84.3333333333,27.3333333333,0,1,83,419898169.189,-402465978.432,valid
2,46,46,2,2,23.0,23.0,23.0,23.0,0,1,542,0.0,-226021086.97,valid
6,424,66,6,6,70.6666666667,11.0,70.6666666667,11.0,1,2,16,879450067.134,-324109472.175,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,0,1,306,572141980.078,-9482660.79412,valid
6,411,82,6,6,68.5,13.6666666667,68.5,13.6666666667,0,2,494,807955283.93,-402367657.788,valid
4,442,42,4,4,110.5,10.5,110.5,10.5,0,1,706,982241188.688,-205748922.625,valid
8,565,155,8,8,70.625,19.375,70.625,19.375,0,2,494,1006880762.34,-760926452.434,valid
1,287,2,1,1,287.0,2.0,287.0,2.0,0,1,83,699830319.973,-9406889.29316,valid
3,297,90,3,3,99.0,30.0,99.0,30.0,0,1,83,508297957.524,-441703084.105,valid
1,143,2,1,1,143.0,2.0,143.0,2.0,0,1,306,346231842.022,-9616719.84634,valid
1,199,2,1,1,199.0,2.0,199.0,2.0,0,1,306,483742360.839,-9535118.68412,valid
2,142,5,2,2,71.0,2.5,71.0,2.5,0,2,499,336409662.817,-24359319.368,valid
2,14,14,2,2,7.0,7.0,7.0,7.0,0,1,4,0.0,-68788129.6539,valid
1,159,2,1,1,159.0,2.0,159.0,2.0,0,1,306,385520561.684,-9593405.22856,valid
5,319,102,5,5,63.8,20.4,63.8,20.4,0,2,722,532846212.773,-500706575.426,valid
14,1791,232,14,14,127.928571429,16.5714285714,127.928571429,16.5714285714,1,3,726,3828244102.07,-1137377111.68,valid
4,323,50,4,4,80.75,12.5,80.75,12.5,1,3,703,670370780.962,-245266295.835,valid
2,447,4,2,2,223.5,2.0,223.5,2.0,0,1,10,1088358760.1,-19561845.0654,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
