% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,2,0,1,0,2.0,0.0,2.0,0,0,1,131,4911578.1487,2928.52837963,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,13,36836459.7606,22340.3175347,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,12,12278915.3215,7351.37118055,valid
20,203,81,20,18,10.15,4.05,10.15,4.5,4,2,241,299512272.838,-397508272.722,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
4,7,5,4,3,1.75,1.25,1.75,1.66666666667,1,2,374,4909080.25103,-24544161.4049,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,34,9823235.11792,5778.23625,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,2,12279981.6917,6285.0009838,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,7,7364761.97312,6998.0425,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,2,39293901.2613,22152.1553704,valid
4,51,48,4,3,12.75,12.0,12.75,16.0,3,2,42,7367709.62802,-235765472.996,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,29,7364640.43819,7119.57743056,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,88,7364532.14448,7227.87114583,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,18,14729287.2132,14232.8180556,valid
3,125,124,2,2,41.6666666667,41.3333333333,62.5,62.0,0,2,385,2422918.02706,-608785070.119,valid
1,98,0,1,0,98.0,0.0,98.0,0,0,1,327,240486911.838,323915.339352,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,327,9815792.31991,13221.0342593,valid
3,13,10,3,2,4.33333333333,3.33333333333,4.33333333333,5.0,0,2,23,7357217.54747,-49101583.5799,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,6,9823108.15523,5905.19893518,valid
