% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,4,0,1,0,4.0,0.0,4.0,0,0,1,50.2871296299,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,2,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,35.2096875003,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,44.2806250001,0,0,0,0,0,0,0,0,0,0,0,valid
5,36,14,5,4,7.2,2.8,7.2,3.5,0,2,22.4602083336,0,0,0,0,0,0,0,0,0,0,0,valid
1,0,1,0,1,0.0,1.0,0,1.0,0,1,20.5361574073,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,52.4298842591,0,0,0,0,0,0,0,0,0,0,0,valid
3,7,3,2,2,2.33333333333,1.0,3.5,1.5,0,2,22.5499305557,0,0,0,0,0,0,0,0,0,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,41.3841203703,0,0,0,0,0,0,0,0,0,0,0,valid
1,21,0,1,0,21.0,0.0,21.0,0,0,1,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,102,125,2,2,34.0,41.6666666667,51.0,62.5,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
2,21,1,2,1,10.5,0.5,10.5,1.0,1,1,38.5345601854,50.2871296299,50.2871296299,1,19,0,1,0,19.0,0.0,19.0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,44.2806250001,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,2,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,28.2809374998,0,0,0,0,0,0,0,0,0,0,0,valid
3,17,2,3,2,5.66666666667,0.666666666667,5.66666666667,1.0,0,1,20.5361574073,0,0,0,0,0,0,0,0,0,0,0,valid
5,78,48,5,4,15.6,9.6,15.6,12.0,0,2,22.4602083336,0,0,0,0,0,0,0,0,0,0,0,valid
3,61,2,3,2,20.3333333333,0.666666666667,20.3333333333,1.0,0,2,15.2406828706,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
2,7,2,2,1,3.5,1.0,3.5,2.0,0,2,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,22.5499305557,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,75.1385185188,0,0,0,0,0,0,0,0,0,0,0,valid
1,63,0,1,0,63.0,0.0,63.0,0,0,1,84.1079282407,0,0,0,0,0,0,0,0,0,0,0,valid
5,60,26,5,3,12.0,5.2,12.0,8.66666666667,1,2,42.315914352,50.2871296299,50.2871296299,1,18,17,1,1,18.0,17.0,18.0,17.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,2,0,1,0,2.0,0.0,2.0,0,0,1,20.5361574073,0,0,0,0,0,0,0,0,0,0,0,valid
7,136,48,7,6,19.4285714286,6.85714285714,19.4285714286,8.0,0,3,30.1508449074,0,0,0,0,0,0,0,0,0,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
2,9,2,2,1,4.5,1.0,4.5,2.0,0,2,29.2408101852,0,0,0,0,0,0,0,0,0,0,0,valid
7,127,47,7,6,18.1428571429,6.71428571429,18.1428571429,7.83333333333,0,3,30.1508449074,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,1,2,1,3.0,0.5,3.0,1.0,0,2,17.4244328705,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,1,2,1,3.0,0.5,3.0,1.0,0,2,50.2871296299,0,0,0,0,0,0,0,0,0,0,0,valid
2,12,6,1,1,6.0,3.0,12.0,6.0,0,2,50.2871296299,0,0,0,0,0,0,0,0,0,0,0,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,28.2809374998,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,63.2652199073,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,73.9142013891,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
3,16,5,3,2,5.33333333333,1.66666666667,5.33333333333,2.5,0,1,23.344675926,0,0,0,0,0,0,0,0,0,0,0,valid
5,47,33,5,4,9.4,6.6,9.4,8.25,0,3,27.2559606484,0,0,0,0,0,0,0,0,0,0,0,valid
5,73,54,5,4,14.6,10.8,14.6,13.5,0,3,27.2559606484,0,0,0,0,0,0,0,0,0,0,0,valid
5,52,44,4,4,10.4,8.8,13.0,11.0,0,3,27.2559606484,0,0,0,0,0,0,0,0,0,0,0,valid
6,49,38,6,5,8.16666666667,6.33333333333,8.16666666667,7.6,0,3,27.2559606484,0,0,0,0,0,0,0,0,0,0,0,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,27.2559606484,0,0,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,28.2730439818,0,0,0,0,0,0,0,0,0,0,0,valid
4,91,15,4,3,22.75,3.75,22.75,5.0,0,2,23.2717824075,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,14,6,2,1,7.0,3.0,7.0,6.0,0,2,29.2408101852,0,0,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,50.2871296299,0,0,0,0,0,0,0,0,0,0,0,valid
3,59,27,3,2,19.6666666667,9.0,19.6666666667,13.5,0,2,23.344675926,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,50.2871296299,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,44.4009953705,0,0,0,0,0,0,0,0,0,0,0,valid
2,7,2,2,1,3.5,1.0,3.5,2.0,0,2,63.2652199073,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,50.2871296299,50.2871296299,50.2871296299,1,7,0,1,0,7.0,0.0,7.0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,65.4020370371,0,0,0,0,0,0,0,0,0,0,0,valid
4,12,4,4,3,3.0,1.0,3.0,1.33333333333,2,2,38.5345601854,44.2806250001,44.2806250001,2,4,3,2,2,2.0,1.5,2.0,1.5,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,84.1079282407,84.1079282407,84.1079282407,1,7,0,1,0,7.0,0.0,7.0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,16.3616666668,0,0,0,0,0,0,0,0,0,0,0,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,44.5275462964,0,0,0,0,0,0,0,0,0,0,0,valid
2,5,0,2,0,2.5,0.0,2.5,0,0,1,28.2809374998,0,0,0,0,0,0,0,0,0,0,0,valid
2,33,1,2,1,16.5,0.5,16.5,1.0,0,2,34.5346875,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,17.4244328705,0,0,0,0,0,0,0,0,0,0,0,valid
8,127,49,8,7,15.875,6.125,15.875,7.0,0,3,30.1508449074,0,0,0,0,0,0,0,0,0,0,0,valid
2,46,11,1,1,23.0,5.5,46.0,11.0,1,2,50.2871296299,50.2871296299,50.2871296299,1,0,11,0,1,0.0,11.0,0,11.0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,34.1845370373,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,73.9142013891,0,0,0,0,0,0,0,0,0,0,0,valid
3,7,3,2,2,2.33333333333,1.0,3.5,1.5,0,2,22.5499305557,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,20.5361574073,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,2,1,1,1,1.0,0.5,2.0,1.0,0,1,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
1,2,1,1,1,2.0,1.0,2.0,1.0,0,1,15.2406828706,15.2406828706,15.2406828706,1,2,1,1,1,2.0,1.0,2.0,1.0,valid
2,6,6,1,1,3.0,3.0,6.0,6.0,0,1,57.2318055555,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,6,1,1,3.0,3.0,6.0,6.0,0,1,57.2318055555,0,0,0,0,0,0,0,0,0,0,0,valid
2,5,5,1,1,2.5,2.5,5.0,5.0,0,1,57.2318055555,0,0,0,0,0,0,0,0,0,0,0,valid
1,33,0,1,0,33.0,0.0,33.0,0,0,1,84.1079282407,84.1079282407,84.1079282407,1,33,0,1,0,33.0,0.0,33.0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,0,1,0,1,0.0,1.0,0,1.0,0,1,20.533865741,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,51,8,2,1,25.5,4.0,25.5,8.0,0,2,29.2408101852,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,20.5361574073,0,0,0,0,0,0,0,0,0,0,0,valid
2,12,2,2,1,6.0,1.0,6.0,2.0,0,2,16.3616666668,0,0,0,0,0,0,0,0,0,0,0,valid
4,3,8,2,4,0.75,2.0,1.5,2.0,1,2,20.5361574073,50.2871296299,50.2871296299,1,0,1,0,1,0.0,1.0,0,1.0,valid
1,21,0,1,0,21.0,0.0,21.0,0,0,1,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,83,18,2,2,27.6666666667,6.0,41.5,9.0,0,2,28.4056365741,0,0,0,0,0,0,0,0,0,0,0,valid
3,49,23,2,2,16.3333333333,7.66666666667,24.5,11.5,0,2,30.4463888891,0,0,0,0,0,0,0,0,0,0,0,valid
3,74,30,2,2,24.6666666667,10.0,37.0,15.0,0,2,30.4463888891,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,72,20,2,2,24.0,6.66666666667,36.0,10.0,0,2,30.4463888891,0,0,0,0,0,0,0,0,0,0,0,valid
3,152,78,2,2,50.6666666667,26.0,76.0,39.0,0,2,30.4463888891,0,0,0,0,0,0,0,0,0,0,0,valid
3,93,39,2,2,31.0,13.0,46.5,19.5,0,2,30.4463888891,0,0,0,0,0,0,0,0,0,0,0,valid
3,83,88,2,2,27.6666666667,29.3333333333,41.5,44.0,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,55,92,2,2,18.3333333333,30.6666666667,27.5,46.0,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,22.5499305557,0,0,0,0,0,0,0,0,0,0,0,valid
3,73,106,2,2,24.3333333333,35.3333333333,36.5,53.0,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
3,115,146,2,2,38.3333333333,48.6666666667,57.5,73.0,0,3,20.5119328704,0,0,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,73.9142013891,0,0,0,0,0,0,0,0,0,0,0,valid
