% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,5,7366405.73521,1889.59524306,0,0,0,0,0,0,0,0,0,valid
3,120,74,3,2,40.0,24.6666666667,40.0,37.0,0,2,31,112871995.165,-363054169.229,0,0,0,0,0,0,0,0,0,valid
2,2,3,2,2,1.0,1.5,1.0,1.5,0,1,13,-2453642.50818,-14724311.1379,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,3,19648075.7389,711.808981482,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,56,7366420.84233,1874.488125,1,3,0,1,0,3.0,0.0,3.0,0,valid
2,11,5,2,1,5.5,2.5,5.5,5.0,0,2,11,14718486.9517,-24536584.0965,0,0,0,0,0,0,0,0,0,valid
2,218,14,2,1,109.0,7.0,109.0,14.0,0,2,119,500473922.321,-68175563.5006,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,3,9821895.54171,2498.23222222,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,12,2455061.52604,1036.91744213,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,22,19638952.3479,9835.2,0,0,0,0,0,0,0,0,0,valid
2,2,17,2,2,1.0,8.5,1.0,8.5,0,1,34,-36840257.6278,-83505803.02,0,0,0,0,0,0,0,0,0,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,91,0.0,-4912013.29935,0,0,0,0,0,0,0,0,0,valid
3,17,5,2,2,5.66666666667,1.66666666667,8.5,2.5,0,1,42,29440445.071,-24503487.6556,0,0,0,0,0,0,0,0,0,valid
3,10,2,3,2,3.33333333333,0.666666666667,3.33333333333,1.0,0,3,29,19633391.9833,-9801202.52707,0,0,0,0,0,0,0,0,0,valid
2,23,3,2,1,11.5,1.5,11.5,3.0,0,1,79,49091260.7852,-14702109.7706,0,0,0,0,0,0,0,0,0,valid
1,31,0,1,0,31.0,0.0,31.0,0,0,1,4,76062349.5818,76702.1662037,0,0,0,0,0,0,0,0,0,valid
