% []
@RELATION base

@ATTRIBUTE diff_commits NUMERIC
@ATTRIBUTE diff_commitsApproved NUMERIC
@ATTRIBUTE numBlobs NUMERIC
@ATTRIBUTE numPatchs NUMERIC
@ATTRIBUTE numCommits NUMERIC
@ATTRIBUTE len_times NUMERIC
@ATTRIBUTE max_times NUMERIC
@ATTRIBUTE p01_times NUMERIC
@ATTRIBUTE p02_times NUMERIC
@ATTRIBUTE mx1_times NUMERIC
@ATTRIBUTE less5_times NUMERIC
@ATTRIBUTE less10_times NUMERIC
@ATTRIBUTE len_difftimes NUMERIC
@ATTRIBUTE max_difftimes NUMERIC
@ATTRIBUTE mx1_difftimes NUMERIC
@ATTRIBUTE ones_difftimes NUMERIC
@ATTRIBUTE less5_difftimes NUMERIC
@ATTRIBUTE less10_difftimes NUMERIC
@ATTRIBUTE len_timesApproved NUMERIC
@ATTRIBUTE mean_timesApproved NUMERIC
@ATTRIBUTE median_timesApproved NUMERIC
@ATTRIBUTE max_timesApproved NUMERIC
@ATTRIBUTE p01_timesApproved NUMERIC
@ATTRIBUTE p02_timesApproved NUMERIC
@ATTRIBUTE mx1_timesApproved NUMERIC
@ATTRIBUTE less5_timesApproved NUMERIC
@ATTRIBUTE less10_timesApproved NUMERIC
@ATTRIBUTE len_difftimesApproved NUMERIC
@ATTRIBUTE max_difftimesApproved NUMERIC
@ATTRIBUTE p01_difftimesApproved NUMERIC
@ATTRIBUTE mx1__difftimesApproved NUMERIC
@ATTRIBUTE ones_difftimesApproved NUMERIC
@ATTRIBUTE less5_difftimesApproved NUMERIC
@ATTRIBUTE less10_difftimesApproved NUMERIC
@ATTRIBUTE len_groups NUMERIC
@ATTRIBUTE len_groupsApproved NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
10,10,19,9,10,139,14.3658796297,0.136690647482,0.474820143885,0.302158273381,4.0,4.0,10,14.3658796297,0.1,10.0,10.0,10.0,91,47.578136574,63.2652199073,14.3658796297,0.164835164835,0.769230769231,0.230769230769,4.0,5.0,10,14.3658796297,1.0,0.1,10.0,10.0,10.0,39,29,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
6,6,15,7,8,111,15.2406828706,0.171171171171,0.297297297297,0.702702702703,2.0,4.0,6,15.2406828706,0.166666666667,6.0,6.0,6.0,65,55.9851157409,71.3916898146,15.2406828706,0.0923076923077,0.430769230769,0.569230769231,3.0,4.0,6,15.2406828706,0.0,0.166666666667,6.0,6.0,6.0,34,29,valid
3,3,5,2,3,124,17.4244328705,0.0241935483871,0.0241935483871,0.532258064516,1.0,1.0,3,17.4244328705,0.333333333333,3.0,3.0,3.0,96,31.4228125,30.544201389,17.4244328705,0.03125,0.03125,0.645833333333,1.0,1.0,3,17.4244328705,0.0,0.333333333333,3.0,3.0,3.0,30,27,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,5,13,6,7,118,20.533865741,0.0338983050847,0.0338983050847,0.737288135593,3.0,3.0,5,20.533865741,0.2,5.0,5.0,5.0,79,35.9962384258,41.2817939813,20.533865741,0.0506329113924,0.0506329113924,0.620253164557,3.0,3.0,5,20.533865741,0.0,0.2,5.0,5.0,5.0,30,22,valid
14,13,27,13,14,205,15.8778125001,0.351219512195,0.721951219512,0.278048780488,3.0,8.0,14,15.8778125001,0.0714285714286,14.0,14.0,14.0,171,47.0308564818,41.3841203703,15.8778125001,0.350877192982,0.783625730994,0.216374269006,2.0,9.0,13,15.8778125001,1.0,0.0769230769231,13.0,13.0,13.0,73,68,valid
1,1,1,0,1,43,38.5345601854,0.0,0.0,1.0,0.0,0.0,1,38.5345601854,1.0,1.0,1.0,1.0,23,38.5345601854,38.5345601854,38.5345601854,0.0,0.0,1.0,0.0,0.0,1,38.5345601854,0.0,1.0,1.0,1.0,1.0,1,1,valid
5,3,9,4,5,67,44.2806250001,0.0597014925373,0.0597014925373,0.582089552239,3.0,3.0,5,44.2806250001,0.2,5.0,5.0,5.0,40,56.161435185,44.2806250001,44.2806250001,0.025,0.025,0.55,1.0,1.0,3,44.2806250001,0.0,0.333333333333,3.0,3.0,3.0,19,15,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,3,5,2,3,37,17.4244328705,0.0540540540541,0.0540540540541,0.945945945946,2.0,2.0,3,17.4244328705,0.333333333333,3.0,3.0,3.0,20,20.3773032408,20.533865741,17.4244328705,0.1,0.1,0.9,2.0,2.0,3,17.4244328705,0.0,0.333333333333,3.0,3.0,3.0,6,4,valid
2,2,3,1,2,44,50.2871296299,0.0,0.0,0.795454545455,0.0,1.0,2,50.2871296299,0.5,2.0,2.0,2.0,22,66.0751388888,75.1385185188,50.2871296299,0.0,0.0,0.636363636364,0.0,1.0,2,50.2871296299,0.0,0.5,2.0,2.0,2.0,9,9,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,1,1,0,1,33,75.1385185188,0.0,0.0,1.0,0.0,0.0,1,75.1385185188,1.0,1.0,1.0,1.0,14,75.1385185188,75.1385185188,75.1385185188,0.0,0.0,1.0,0.0,0.0,1,75.1385185188,0.0,1.0,1.0,1.0,1.0,1,1,valid
6,6,13,6,7,288,15.2406828706,0.0416666666667,0.204861111111,0.795138888889,3.0,4.0,6,15.2406828706,0.166666666667,6.0,6.0,6.0,241,40.7836921299,44.4009953705,15.2406828706,0.0331950207469,0.219917012448,0.780082987552,4.0,4.0,6,15.2406828706,0.0,0.166666666667,6.0,6.0,6.0,62,45,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,3,5,2,3,59,42.315914352,0.118644067797,0.118644067797,0.881355932203,2.0,2.0,3,42.315914352,0.333333333333,3.0,3.0,3.0,40,49.0580439814,50.2871296299,42.315914352,0.175,0.175,0.825,2.0,2.0,3,42.315914352,0.0,0.333333333333,3.0,3.0,3.0,9,9,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
8,8,17,8,9,260,15.534675926,0.134615384615,0.303846153846,0.407692307692,3.0,4.0,8,15.534675926,0.125,8.0,8.0,8.0,216,53.8283912037,50.2871296299,15.534675926,0.157407407407,0.333333333333,0.342592592593,3.0,4.0,8,15.534675926,0.0,0.125,8.0,8.0,8.0,76,68,valid
6,6,11,5,6,157,17.4244328705,0.184713375796,0.184713375796,0.458598726115,1.0,3.0,6,17.4244328705,0.166666666667,6.0,6.0,6.0,131,26.859398148,22.4602083336,17.4244328705,0.206106870229,0.206106870229,0.427480916031,1.0,3.0,6,17.4244328705,0.0,0.166666666667,6.0,6.0,6.0,46,43,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,1,0,1,26,50.2871296299,0.0,0.0,1.0,0.0,0.0,1,50.2871296299,1.0,1.0,1.0,1.0,7,50.2871296299,50.2871296299,50.2871296299,0.0,0.0,1.0,0.0,1.0,1,50.2871296299,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
7,7,19,9,10,206,15.3853703705,0.199029126214,0.388349514563,0.611650485437,3.0,3.0,7,15.3853703705,0.142857142857,7.0,7.0,7.0,170,28.7008912037,34.5346875,15.3853703705,0.211764705882,0.4,0.6,3.0,4.0,7,15.3853703705,0.0,0.142857142857,7.0,7.0,7.0,55,49,valid
1,1,1,0,1,39,50.2871296299,0.0,0.0,1.0,0.0,0.0,1,50.2871296299,1.0,1.0,1.0,1.0,19,50.2871296299,50.2871296299,50.2871296299,0.0,0.0,1.0,0.0,0.0,1,50.2871296299,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,1,1,0,1,71,50.2871296299,0.0,0.0,1.0,0.0,0.0,1,50.2871296299,1.0,1.0,1.0,1.0,46,50.2871296299,50.2871296299,50.2871296299,0.0,0.0,1.0,0.0,0.0,1,50.2871296299,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
10,10,23,11,12,292,16.3616666668,0.25,0.513698630137,0.486301369863,3.0,3.0,10,16.3616666668,0.1,10.0,10.0,10.0,203,48.3745370372,44.2806250001,16.3616666668,0.315270935961,0.467980295567,0.325123152709,3.0,3.0,10,16.3616666668,1.0,0.1,10.0,10.0,10.0,154,134,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
8,8,15,7,8,141,20.5361574073,0.0992907801418,0.262411347518,0.418439716312,5.0,5.0,8,20.5361574073,0.125,8.0,8.0,8.0,107,54.6286342591,50.2871296299,20.5361574073,0.130841121495,0.317757009346,0.364485981308,5.0,5.0,8,20.5361574073,0.0,0.125,8.0,8.0,8.0,45,43,valid
12,12,33,16,17,210,14.3658796297,0.271428571429,0.485714285714,0.309523809524,4.0,6.0,12,14.3658796297,0.0833333333333,12.0,12.0,12.0,148,43.7239699075,34.1845370373,14.3658796297,0.155405405405,0.797297297297,0.202702702703,4.0,6.0,12,14.3658796297,1.0,0.0833333333333,12.0,12.0,12.0,85,73,valid
2,2,3,1,2,32,44.5275462964,0.03125,0.03125,0.96875,1.0,1.0,2,44.5275462964,0.5,2.0,2.0,2.0,13,68.2441435186,70.2621875,44.5275462964,0.0769230769231,0.0769230769231,0.923076923077,1.0,1.0,2,44.5275462964,0.0,0.5,2.0,2.0,2.0,3,3,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
4,4,9,4,5,47,17.4244328705,0.106382978723,0.212765957447,0.787234042553,3.0,3.0,4,17.4244328705,0.25,4.0,4.0,4.0,26,67.4112731484,73.9142013891,17.4244328705,0.153846153846,0.307692307692,0.692307692308,3.0,3.0,4,17.4244328705,0.0,0.25,4.0,4.0,4.0,19,15,valid
3,3,5,2,3,49,42.315914352,0.0816326530612,0.0816326530612,0.918367346939,2.0,2.0,3,42.315914352,0.333333333333,3.0,3.0,3.0,27,49.1789814816,50.2871296299,42.315914352,0.037037037037,0.148148148148,0.851851851852,2.0,2.0,3,42.315914352,0.0,0.333333333333,3.0,3.0,3.0,7,6,valid
1,1,1,0,1,46,44.5275462964,0.0,0.0,1.0,0.0,0.0,1,44.5275462964,1.0,1.0,1.0,1.0,21,44.5275462964,44.5275462964,44.5275462964,0.0,0.0,1.0,0.0,0.0,1,44.5275462964,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,1,0,1,44,23.2717824075,0.0,0.0,1.0,0.0,0.0,1,23.2717824075,1.0,1.0,1.0,1.0,25,23.2717824075,23.2717824075,23.2717824075,0.0,0.0,1.0,0.0,0.0,1,23.2717824075,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,4,7,3,4,177,15.2406828706,0.0225988700565,0.135593220339,0.864406779661,2.0,2.0,4,15.2406828706,0.25,4.0,4.0,4.0,142,26.1909027779,28.2809374998,15.2406828706,0.0281690140845,0.169014084507,0.830985915493,2.0,2.0,4,15.2406828706,0.0,0.25,4.0,4.0,4.0,26,25,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,1,0,1,30,34.5346875,0.0,0.0,1.0,0.0,0.0,1,34.5346875,1.0,1.0,1.0,1.0,8,34.5346875,34.5346875,34.5346875,0.0,0.0,1.0,0.0,1.0,1,34.5346875,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,1,5,2,3,30,50.2871296299,0.0666666666667,0.0666666666667,0.933333333333,2.0,2.0,3,50.2871296299,0.333333333333,3.0,3.0,3.0,7,75.1385185188,75.1385185188,75.1385185188,0.0,0.0,1.0,0.0,1.0,1,75.1385185188,0.0,1.0,1.0,1.0,1.0,5,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,1,3,1,2,79,20.5119328704,0.0253164556962,0.0253164556962,0.974683544304,1.0,1.0,2,20.5119328704,0.5,2.0,2.0,2.0,55,44.5275462964,44.5275462964,44.5275462964,0.0,0.0,1.0,0.0,0.0,1,44.5275462964,0.0,1.0,1.0,1.0,1.0,3,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
6,6,15,7,8,152,34.1845370373,0.0921052631579,0.203947368421,0.796052631579,4.0,4.0,6,34.1845370373,0.166666666667,6.0,6.0,6.0,93,64.3353703702,73.9142013891,34.1845370373,0.10752688172,0.290322580645,0.709677419355,4.0,4.0,6,34.1845370373,0.0,0.166666666667,6.0,6.0,6.0,35,28,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
8,7,19,9,10,226,20.533865741,0.0973451327434,0.0973451327434,0.615044247788,4.0,6.0,8,20.533865741,0.125,8.0,8.0,8.0,159,42.4775,52.4298842591,20.533865741,0.11320754717,0.11320754717,0.528301886792,3.0,5.0,7,20.533865741,0.0,0.142857142857,7.0,7.0,7.0,71,57,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,2,5,2,3,42,20.5361574073,0.047619047619,0.047619047619,0.952380952381,1.0,1.0,2,20.5361574073,0.5,2.0,2.0,2.0,22,42.1220370373,44.2806250001,20.5361574073,0.0909090909091,0.0909090909091,0.909090909091,1.0,1.0,2,20.5361574073,0.0,0.5,2.0,2.0,2.0,5,5,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
10,10,19,9,10,134,20.5361574073,0.164179104478,0.313432835821,0.246268656716,4.0,6.0,10,20.5361574073,0.1,10.0,10.0,10.0,97,65.0826851851,70.2621875,20.5361574073,0.298969072165,0.680412371134,0.319587628866,4.0,7.0,10,20.5361574073,1.0,0.1,10.0,10.0,10.0,53,42,valid
4,4,7,3,4,46,70.2621875,0.0217391304348,0.173913043478,0.608695652174,1.0,3.0,4,70.2621875,0.25,4.0,4.0,4.0,21,78.1436226852,76.4228587965,70.2621875,0.047619047619,0.047619047619,0.428571428571,2.0,4.0,4,70.2621875,0.0,0.25,4.0,4.0,4.0,12,10,valid
5,5,9,4,5,43,15.534675926,0.209302325581,0.209302325581,0.790697674419,4.0,4.0,5,15.534675926,0.2,5.0,5.0,5.0,22,44.5776041667,50.2871296299,15.534675926,0.0909090909091,0.363636363636,0.636363636364,4.0,4.0,5,15.534675926,0.0,0.2,5.0,5.0,5.0,9,8,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,5,11,5,6,452,20.5119328704,0.0796460176991,0.0796460176991,0.659292035398,1.0,1.0,5,20.5119328704,0.2,5.0,5.0,5.0,304,27.7502430556,20.5119328704,20.5119328704,0.0657894736842,0.0657894736842,0.703947368421,2.0,2.0,5,20.5119328704,0.0,0.2,5.0,5.0,5.0,116,83,valid
