% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,20,0,1,0,20.0,0.0,20.0,0,0,1,1546,49116132.9433,7438.0912037,0,0,0,0,0,0,0,0,0,valid
2,7,0,2,0,3.5,0.0,3.5,0,0,2,187,17191017.3358,2232.52623842,0,0,0,0,0,0,0,0,0,valid
2,6,6,1,1,3.0,3.0,6.0,6.0,0,1,3087,-0.00361111015081,-29469679.7662,0,0,0,0,0,0,0,0,0,valid
1,14,0,1,0,14.0,0.0,14.0,0,0,1,2588,34381293.0564,5206.66773147,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,2588,27013873.1158,4090.95321759,0,0,0,0,0,0,0,0,0,valid
2,39,1,1,1,19.5,0.5,39.0,1.0,0,1,9,93320652.8183,-4897481.15905,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1546,12279033.2358,1859.52280092,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,24,12280613.2161,279.542476851,0,0,0,0,0,0,0,0,0,valid
3,8,4,3,2,2.66666666667,1.33333333333,2.66666666667,2.0,1,1,28,9823953.93375,-19647932.4113,1,2,2,1,1,2.0,2.0,2.0,2.0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2588,7367419.94066,1115.71451389,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2588,7367419.94066,1115.71451389,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1546,7367419.94149,1115.71368056,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,23,27014851.3039,3112.76510417,0,0,0,0,0,0,0,0,0,valid
2,24,7,2,1,12.0,3.5,12.0,7.0,0,1,142,41754185.9283,-34385150.2146,0,0,0,0,0,0,0,0,0,valid
2,18,1,2,1,9.0,0.5,9.0,1.0,0,1,3662,41748712.9973,-4905290.91236,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1569,7367419.94149,-14733794.9596,0,0,0,0,0,0,0,0,0,valid
7,104,18,6,5,14.8571428571,2.57142857143,17.3333333333,3.6,2,1,89,211199371.958,-88377055.9574,2,2,2,1,2,1.0,1.0,2.0,1.0,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,1546,24558066.4716,3719.04560185,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,11,1,2,1,5.5,0.5,5.5,1.0,0,1,2588,24558066.4848,-4907894.26928,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1397,7367419.94247,1115.71270833,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,64,7367419.94889,1115.70628472,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,20,7367419.95073,1115.70444444,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,157,9823226.60019,1487.60671296,1,4,0,1,0,4.0,0.0,4.0,0,valid
1,20,0,1,0,20.0,0.0,20.0,0,0,1,24,49116132.9912,7438.04328703,0,0,0,0,0,0,0,0,0,valid
1,14,0,1,0,14.0,0.0,14.0,0,0,1,91,34386001.2028,498.521365732,1,14,0,1,0,14.0,0.0,14.0,0,valid
2,12,1,2,1,6.0,0.5,6.0,1.0,0,1,3087,27013873.1158,-4907522.34176,0,0,0,0,0,0,0,0,0,valid
4,79,3,4,3,19.75,0.75,19.75,1.0,0,2,1681,186641305.184,-14707670.9811,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,24,7367419.94868,1115.70649306,0,0,0,0,0,0,0,0,0,valid
1,38,0,1,0,38.0,0.0,38.0,0,0,1,29,93320652.7827,14132.1828472,0,0,0,0,0,0,0,0,0,valid
1,37,0,1,0,37.0,0.0,37.0,0,0,1,29,90864846.1305,13760.2832986,0,0,0,0,0,0,0,0,0,valid
1,38,0,1,0,38.0,0.0,38.0,0,0,1,29,93320652.7827,14132.1828472,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1397,17190646.5324,2603.32965278,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,51,17190646.5477,2603.31434027,1,7,0,1,0,7.0,0.0,7.0,0,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,2,29474105.1357,37.4849999994,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,2588,12279033.2344,1859.52418981,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,10,7367419.95049,1115.7046875,0,0,0,0,0,0,0,0,0,valid
3,11,4,3,2,3.66666666667,1.33333333333,3.66666666667,2.0,1,1,299,17190646.5488,-19643849.8911,1,7,0,1,0,7.0,0.0,7.0,0,valid
1,18,0,1,0,18.0,0.0,18.0,0,0,1,51,44206303.6871,4910.24395833,0,0,0,0,0,0,0,0,0,valid
3,13,2,3,2,4.33333333333,0.666666666667,4.33333333333,1.0,0,2,3123,27014428.4312,-9819968.60873,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2588,7367419.94066,1115.71451389,0,0,0,0,0,0,0,0,0,valid
3,8,3,3,2,2.66666666667,1.0,2.66666666667,1.5,1,1,3120,12279033.2344,-14732980.3648,1,1,1,1,1,1.0,1.0,1.0,1.0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,11,9823445.74639,1268.46050926,0,0,0,0,0,0,0,0,0,valid
1,34,0,1,0,34.0,0.0,34.0,0,0,1,2588,83497425.9941,12644.7644907,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1546,7367419.94149,1115.71368056,0,0,0,0,0,0,0,0,0,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,176,4911613.294,743.809444444,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1546,7367419.94149,1115.71368056,0,0,0,0,0,0,0,0,0,valid
2,16,16,1,1,8.0,8.0,16.0,16.0,1,2,2648,-5378.98185185,-78591191.6822,1,0,16,0,1,0.0,16.0,0,16.0,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,2588,4911613.29377,743.809675925,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,2588,9823226.58755,1487.61935185,0,0,0,0,0,0,0,0,0,valid
3,6,6,2,2,2.0,2.0,3.0,3.0,0,1,3109,-0.00180555507541,-29469679.7865,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,157,7367419.95014,1115.70503472,1,3,0,1,0,3.0,0.0,3.0,0,valid
5,54,6,5,4,10.8,1.2,10.8,1.5,0,2,3765,117878719.051,-29452214.1189,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,68,12280251.7277,641.030902777,0,0,0,0,0,0,0,0,0,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,179,4912324.87782,32.225625,1,2,0,1,0,2.0,0.0,2.0,0,valid
2,9,9,2,2,4.5,4.5,4.5,4.5,1,2,48,1027.23986111,-44207601.4319,1,8,4,1,1,8.0,4.0,8.0,4.0,valid
5,61,7,5,2,12.2,1.4,12.2,3.5,2,2,2778,132614461.988,-34363501.0626,2,7,0,2,0,3.5,0.0,3.5,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,2588,7367419.94066,1115.71451389,0,0,0,0,0,0,0,0,0,valid
1,24,0,1,0,24.0,0.0,24.0,0,0,1,68,58945208.2931,3076.94833333,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1546,7367419.94149,1115.71368056,0,0,0,0,0,0,0,0,0,valid
