% []
@RELATION base

@ATTRIBUTE diff_commits NUMERIC
@ATTRIBUTE diff_commitsApproved NUMERIC
@ATTRIBUTE numBlobs NUMERIC
@ATTRIBUTE numPatchs NUMERIC
@ATTRIBUTE numCommits NUMERIC
@ATTRIBUTE len_times NUMERIC
@ATTRIBUTE max_times NUMERIC
@ATTRIBUTE p01_times NUMERIC
@ATTRIBUTE p02_times NUMERIC
@ATTRIBUTE mx1_times NUMERIC
@ATTRIBUTE less5_times NUMERIC
@ATTRIBUTE less10_times NUMERIC
@ATTRIBUTE len_difftimes NUMERIC
@ATTRIBUTE max_difftimes NUMERIC
@ATTRIBUTE mx1_difftimes NUMERIC
@ATTRIBUTE ones_difftimes NUMERIC
@ATTRIBUTE less5_difftimes NUMERIC
@ATTRIBUTE less10_difftimes NUMERIC
@ATTRIBUTE len_timesApproved NUMERIC
@ATTRIBUTE mean_timesApproved NUMERIC
@ATTRIBUTE median_timesApproved NUMERIC
@ATTRIBUTE max_timesApproved NUMERIC
@ATTRIBUTE p01_timesApproved NUMERIC
@ATTRIBUTE p02_timesApproved NUMERIC
@ATTRIBUTE mx1_timesApproved NUMERIC
@ATTRIBUTE less5_timesApproved NUMERIC
@ATTRIBUTE less10_timesApproved NUMERIC
@ATTRIBUTE len_difftimesApproved NUMERIC
@ATTRIBUTE max_difftimesApproved NUMERIC
@ATTRIBUTE p01_difftimesApproved NUMERIC
@ATTRIBUTE mx1__difftimesApproved NUMERIC
@ATTRIBUTE ones_difftimesApproved NUMERIC
@ATTRIBUTE less5_difftimesApproved NUMERIC
@ATTRIBUTE less10_difftimesApproved NUMERIC
@ATTRIBUTE len_groups NUMERIC
@ATTRIBUTE len_groupsApproved NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
4,4,7,3,4,99,14.9328935184,0.10101010101,0.10101010101,0.89898989899,3.0,3.0,4,14.9328935184,0.25,4.0,4.0,4.0,71,219.496805556,246.814467593,14.9328935184,0.12676056338,0.12676056338,0.87323943662,3.0,3.0,4,14.9328935184,0.0,0.25,4.0,4.0,4.0,19,17,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,1,1,0,1,41,246.814467593,0.0,0.0,1.0,0.0,0.0,1,246.814467593,1.0,1.0,1.0,1.0,18,246.814467593,246.814467593,246.814467593,0.0,0.0,1.0,0.0,0.0,1,246.814467593,0.0,1.0,1.0,1.0,1.0,1,1,valid
3,2,5,2,3,157,14.4056250001,0.0828025477707,0.0828025477707,0.917197452229,1.0,1.0,3,14.4056250001,0.333333333333,3.0,3.0,3.0,129,226.993113426,246.814467593,14.4056250001,0.0852713178295,0.0852713178295,0.914728682171,0.0,0.0,2,14.4056250001,0.0,0.5,2.0,2.0,2.0,12,11,valid
4,3,7,3,4,81,4.06728009274,0.148148148148,0.148148148148,0.851851851852,2.0,3.0,4,4.06728009274,0.25,4.0,4.0,4.0,27,212.105694444,246.814467593,4.06728009274,0.037037037037,0.148148148148,0.851851851852,2.0,2.0,3,4.06728009274,0.0,0.333333333333,3.0,3.0,3.0,21,7,valid
1,1,1,0,1,42,246.814467593,0.0,0.0,1.0,0.0,0.0,1,246.814467593,1.0,1.0,1.0,1.0,18,246.814467593,246.814467593,246.814467593,0.0,0.0,1.0,0.0,0.0,1,246.814467593,0.0,1.0,1.0,1.0,1.0,1,1,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,1,3,1,2,35,88.0578009258,0.0285714285714,0.0285714285714,0.971428571429,1.0,1.0,2,88.0578009258,0.5,2.0,2.0,2.0,10,246.814467593,246.814467593,246.814467593,0.0,0.0,1.0,0.0,1.0,1,246.814467593,0.0,1.0,1.0,1.0,1.0,3,1,valid
1,1,1,0,1,41,246.814467593,0.0,0.0,1.0,0.0,0.0,1,246.814467593,1.0,1.0,1.0,1.0,18,246.814467593,246.814467593,246.814467593,0.0,0.0,1.0,0.0,0.0,1,246.814467593,0.0,1.0,1.0,1.0,1.0,1,1,valid
