% []
@RELATION base

@ATTRIBUTE Operators_count NUMERIC
@ATTRIBUTE Operands_count NUMERIC
@ATTRIBUTE Distinct_operators NUMERIC
@ATTRIBUTE Distinct_operands NUMERIC
@ATTRIBUTE Program_length NUMERIC
@ATTRIBUTE Program_vocabulary NUMERIC
@ATTRIBUTE Volume NUMERIC
@ATTRIBUTE Difficulty NUMERIC
@ATTRIBUTE Effort NUMERIC
@ATTRIBUTE complexity NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
966,647,41,187,1613,228,12634.4515928,69,871777.159906,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
165,109,26,55,274,81,1737.11890079,25,43427.9725198,0,valid
555,418,23,126,973,149,7024.25097041,36,252873.034935,0,valid
0,0,0,0,0,0,0,0,0,0,valid
999,723,34,181,1722,215,13342.388087,67,893940.001829,0,valid
150,107,24,50,257,74,1595.82951497,25,39895.7378742,0,valid
425,264,28,92,689,120,4758.84762037,40,190353.904815,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
165,109,26,55,274,81,1737.11890079,25,43427.9725198,0,valid
1038,646,43,177,1684,220,13103.8097576,76,995889.541576,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
887,591,36,201,1478,237,11659.5625219,52,606297.251137,0,valid
62,53,16,28,115,44,627.834636143,15,9417.51954215,0,valid
226,153,16,64,379,80,2396.01074796,19,45524.2042113,0,valid
0,0,0,0,0,0,0,0,0,0,valid
95,64,10,47,159,57,927.429512252,6,5564.57707351,0,valid
116,89,21,43,205,64,1230.0,20,24600.0,0,valid
1150,760,37,200,1910,237,15067.4996054,68,1024589.97317,0,valid
165,127,23,55,292,78,1835.33744791,25,45883.4361977,0,valid
2146,1347,37,284,3493,321,29084.2181985,85,2472158.54687,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1281,685,31,157,1966,188,14852.3216824,65,965400.909356,0,valid
1578,965,23,128,2543,151,18407.2632521,82,1509395.58667,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
448,254,32,105,702,137,4982.81852224,38,189347.103845,0,valid
42,31,12,24,73,36,377.404525105,7,2641.83167574,0,valid
0,0,0,0,0,0,0,0,0,0,valid
781,470,32,166,1251,198,9544.32513172,45,429494.630927,0,valid
1411,962,36,248,2373,284,19339.3499146,69,1334415.14411,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
196,148,28,52,344,80,2174.74326464,39,84814.987321,0,valid
148,129,24,58,277,82,1761.04190528,26,45787.0895373,0,valid
0,0,0,0,0,0,0,0,0,0,valid
265,165,17,62,430,79,2710.62572172,21,56923.140156,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
627,465,29,96,1092,125,7606.63643885,67,509644.641403,0,valid
206,161,23,62,367,85,2352.24647356,28,65862.9012598,0,valid
537,309,26,96,846,122,5863.40378758,41,240399.555291,0,valid
26,21,9,13,47,22,209.593286076,6,1257.55971646,0,valid
0,0,0,0,0,0,0,0,0,0,valid
111,81,23,41,192,64,1152.0,21,24192.0,0,valid
65,44,13,22,109,35,559.091848847,12,6709.10218616,0,valid
1428,901,28,169,2329,197,17751.7586875,74,1313630.14288,0,valid
962,666,44,197,1628,241,12882.1838394,74,953281.604114,0,valid
1093,636,42,186,1729,228,13543.0668345,71,961557.745249,0,bugged
3180,2008,51,448,5188,499,46499.5044757,112,5207944.50128,0,valid
280,177,25,75,457,100,3036.24227873,28,85014.7838044,0,valid
531,352,17,64,883,81,5598.08755255,44,246315.852312,0,valid
3471,2211,48,404,5682,452,50116.2568644,131,6565229.64924,0,valid
2239,1445,35,283,3684,318,30624.6608073,86,2633720.82943,0,valid
0,0,0,0,0,0,0,0,0,0,valid
397,273,22,112,670,134,4734.27975761,26,123091.273698,0,valid
227,155,30,59,382,89,2473.73017063,39,96475.4766545,0,valid
0,0,0,0,0,0,0,0,0,0,valid
98,74,21,41,172,62,1024.12176539,18,18434.191777,0,valid
778,523,37,154,1301,191,9858.23490527,61,601352.329222,0,valid
699,413,36,114,1112,150,8038.44638383,65,522499.014949,0,valid
6797,4492,41,482,11289,523,101947.201301,186,18962179.442,0,valid
56,75,10,34,131,44,715.185542041,11,7867.04096246,0,valid
231,184,18,74,415,92,2707.27821176,22,59560.1206588,0,valid
62,52,16,27,114,43,618.594182036,15,9278.91273054,0,valid
652,469,28,176,1121,204,8600.78880835,37,318229.185909,0,valid
145,112,22,51,257,73,1590.78491163,24,38178.8378792,0,valid
930,657,39,184,1587,223,12380.0281412,67,829461.885459,0,valid
0,0,0,0,0,0,0,0,0,0,valid
361,284,27,103,645,130,4529.4272394,35,158529.953379,0,valid
243,189,22,77,432,99,2863.88205987,27,77324.8156166,0,valid
111,81,23,41,192,64,1152.0,21,24192.0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
1213,797,37,208,2010,245,15952.6422574,68,1084779.6735,0,valid
357,210,29,84,567,113,3867.04147169,35,135346.451509,0,valid
0,0,0,0,0,0,0,0,0,0,valid
651,389,33,130,1040,163,7642.6772804,47,359205.832179,0,valid
11,10,8,10,21,18,87.5684250303,4,350.273700121,0,valid
75,75,12,29,150,41,803.632800693,15,12054.4920104,0,valid
83,62,11,45,145,56,842.066463698,6,5052.39878219,0,valid
182,147,19,66,329,85,2108.68961799,20,42173.7923598,0,valid
492,337,34,97,829,131,5830.70766827,59,344011.752428,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
75,48,15,27,123,42,663.255043002,12,7959.06051602,0,valid
151,121,20,48,272,68,1655.78989282,25,41394.7473205,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
165,108,28,76,273,104,1829.22004305,19,34755.180818,0,valid
126,86,21,45,212,66,1281.4115533,19,24346.8195128,0,valid
3183,1744,40,257,4927,297,40471.9503082,135,5463713.29161,0,valid
462,338,35,121,800,156,5828.32177509,47,273931.123429,0,valid
108,96,16,46,204,62,1214.65604732,16,19434.4967571,0,valid
280,216,28,79,496,107,3343.76762525,38,127063.16976,0,valid
622,353,26,85,975,111,6624.55546969,53,351101.439894,0,valid
2354,1365,39,286,3719,325,31032.4364815,90,2792919.28334,0,valid
0,0,0,0,0,0,0,0,0,0,valid
701,475,30,147,1176,177,8781.9041269,48,421531.398091,0,valid
812,532,36,139,1344,175,10014.4277343,68,680981.085933,0,valid
3044,1876,30,346,4920,376,42088.5771503,81,3409174.74917,0,valid
8357,5686,32,318,14043,350,118680.357643,286,33942582.286,0,valid
2065,1176,42,209,3241,251,25835.7726584,118,3048621.17369,0,valid
37,31,9,15,68,24,311.777450049,8,2494.21960039,0,valid
0,0,0,0,0,0,0,0,0,0,valid
374,267,29,90,641,119,4419.57818628,41,181202.705637,0,valid
0,0,0,0,0,0,0,0,0,0,valid
319,198,23,101,517,124,3595.31949247,21,75501.7093419,0,valid
661,331,29,97,992,126,6921.46168411,47,325308.699153,0,valid
376,279,33,105,655,138,4656.08351919,42,195555.507806,0,valid
0,0,0,0,0,0,0,0,0,0,valid
333,272,27,101,605,128,4235.0,35,148225.0,0,valid
626,438,34,102,1064,136,7541.06046309,73,550497.413806,0,valid
0,0,0,0,0,0,0,0,0,0,valid
514,353,29,117,867,146,6233.57789255,42,261810.271487,0,valid
1507,1123,35,232,2630,267,21199.6303003,82,1738369.68463,0,valid
418,276,32,102,694,134,4903.86589818,43,210866.233622,0,valid
361,301,27,105,662,132,4663.38890702,37,172545.38956,0,valid
62,52,16,27,114,43,618.594182036,15,9278.91273054,0,valid
0,0,0,0,0,0,0,0,0,0,valid
194,118,22,46,312,68,1899.28840647,28,53180.0753812,0,valid
165,125,21,45,290,66,1752.87429461,27,47327.6059546,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1939,1176,43,213,3115,256,24920.0,115,2865800.0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
737,409,30,98,1146,128,8022.0,62,497364.0,0,valid
38,33,12,17,71,29,344.916650654,11,3794.08315719,0,valid
329,215,22,71,544,93,3557.30239324,33,117390.978977,0,valid
553,371,31,129,924,160,6765.46155968,43,290914.847066,0,valid
341,265,31,102,606,133,4275.50115591,38,162469.043925,0,valid
5291,2474,35,210,7765,245,61627.9935964,200,12325598.7193,0,valid
950,570,33,185,1520,218,11807.6401737,49,578574.368509,0,valid
0,0,0,0,0,0,0,0,0,0,valid
20,15,12,15,35,27,166.421062576,6,998.526375454,0,valid
0,0,0,0,0,0,0,0,0,0,valid
107,78,20,42,185,62,1101.52631742,18,19827.4737136,0,valid
83,60,16,29,143,45,785.334992775,16,12565.3598844,0,valid
121,93,20,48,214,68,1302.71704803,19,24751.6239125,0,valid
230,179,25,75,409,100,2717.33718162,28,76085.4410853,0,valid
211,166,21,70,377,91,2453.43857935,23,56429.0873252,0,valid
37,31,9,15,68,24,311.777450049,8,2494.21960039,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1600,1143,37,287,2743,324,22876.2085579,71,1624210.80761,0,valid
1017,615,30,101,1632,131,11478.5463385,91,1044547.7168,0,valid
395,349,26,98,744,124,5173.92205493,46,238000.414527,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
275,157,33,57,432,90,2804.48053761,44,123397.143655,0,valid
1410,794,43,127,2204,170,16330.2976232,131,2139268.98865,0,valid
2566,1714,26,207,4280,233,33658.7166991,107,3601482.68681,0,valid
969,696,28,170,1665,198,12702.8787724,57,724064.090029,0,valid
43,35,13,19,78,32,390.0,11,4290.0,0,valid
2702,2053,41,298,4755,339,39966.4476572,137,5475403.32904,0,valid
0,0,0,0,0,0,0,0,0,0,valid
579,422,25,126,1001,151,7245.64314406,40,289825.725763,0,valid
