% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,72009,34916,2,2,36004.5,17458.0,36004.5,17458.0,1,2,88.0578009258,95.0610532407,95.0610532407,valid
3,189,73,3,3,63.0,24.3333333333,63.0,24.3333333333,0,2,15.4067013888,0,0,bugged
1,331,2,1,1,331.0,2.0,331.0,2.0,0,1,246.814467593,0,0,valid
4,721,32,4,4,180.25,8.0,180.25,8.0,0,2,14.9328935184,0,0,bugged
1,291,2,1,1,291.0,2.0,291.0,2.0,0,1,246.814467593,0,0,valid
2,259,18,2,2,129.5,9.0,129.5,9.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,79,2,1,1,79.0,2.0,79.0,2.0,0,1,246.814467593,0,0,valid
1,287,2,1,1,287.0,2.0,287.0,2.0,0,1,246.814467593,0,0,valid
2,1171,96,2,2,585.5,48.0,585.5,48.0,0,2,88.0578009258,0,0,bugged
2,375,22,2,2,187.5,11.0,187.5,11.0,0,2,88.0578009258,0,0,valid
1,383,2,1,1,383.0,2.0,383.0,2.0,0,1,246.814467593,0,0,valid
5,206,129,5,5,41.2,25.8,41.2,25.8,1,2,15.4067013888,45.4301504628,45.4301504628,bugged
4,495,134,4,4,123.75,33.5,123.75,33.5,0,3,15.4067013888,0,0,valid
2,44,40,2,2,22.0,20.0,22.0,20.0,0,1,15.4067013888,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,3541,187,3,3,1180.33333333,62.3333333333,1180.33333333,62.3333333333,0,2,14.9328935184,0,0,valid
1,139,2,1,1,139.0,2.0,139.0,2.0,0,1,246.814467593,0,0,valid
6,1885,75,6,6,314.166666667,12.5,314.166666667,12.5,1,3,14.4056250001,88.3538425928,88.3538425928,bugged
2,1276,46,2,2,638.0,23.0,638.0,23.0,0,2,88.0578009258,0,0,valid
2,545,10,2,2,272.5,5.0,272.5,5.0,0,2,88.0578009258,0,0,valid
4,1868,93,4,4,467.0,23.25,467.0,23.25,3,2,2.39103009272,2.39103009272,2.39103009272,bugged
3,2412,378,3,3,804.0,126.0,804.0,126.0,0,2,15.4067013888,0,0,bugged
1,143,2,1,1,143.0,2.0,143.0,2.0,0,1,246.814467593,0,0,valid
1,1942,2,1,1,1942.0,2.0,1942.0,2.0,0,1,246.814467593,0,0,valid
2,159,105,2,2,79.5,52.5,79.5,52.5,0,2,16.1641087965,0,0,bugged
6,1071,948,6,6,178.5,158.0,178.5,158.0,1,3,4.06728009274,4.06728009274,4.06728009274,bugged
1,315,2,1,1,315.0,2.0,315.0,2.0,0,1,246.814467593,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,323,2,1,1,323.0,2.0,323.0,2.0,0,1,246.814467593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,378,27,4,4,94.5,6.75,94.5,6.75,1,2,15.4067013888,28.3857291667,28.3857291667,bugged
4,363,38,4,4,90.75,9.5,90.75,9.5,0,2,14.9328935184,0,0,valid
2,18,116,2,2,9.0,58.0,9.0,58.0,1,2,4.06728009274,4.06728009274,4.06728009274,valid
1,119,2,1,1,119.0,2.0,119.0,2.0,0,1,246.814467593,0,0,bugged
1,20,20,1,1,20.0,20.0,20.0,20.0,0,1,88.0578009258,0,0,valid
4,287,16,4,4,71.75,4.0,71.75,4.0,0,2,14.4056250001,0,0,valid
3,379,14,3,3,126.333333333,4.66666666667,126.333333333,4.66666666667,0,2,15.4067013888,0,0,valid
2,211,30,2,2,105.5,15.0,105.5,15.0,0,2,88.0578009258,0,0,valid
4,927,53,4,4,231.75,13.25,231.75,13.25,1,3,14.3912615739,14.3912615739,14.3912615739,bugged
1,103,2,1,1,103.0,2.0,103.0,2.0,0,1,246.814467593,0,0,valid
2,1163,10,2,2,581.5,5.0,581.5,5.0,1,1,3.09459490748,3.09459490748,3.09459490748,bugged
2,319,18,2,2,159.5,9.0,159.5,9.0,0,2,88.0578009258,0,0,valid
2,207,10,2,2,103.5,5.0,103.5,5.0,0,2,88.0578009258,0,0,bugged
1,195,2,1,1,195.0,2.0,195.0,2.0,0,1,246.814467593,0,0,valid
1,557,2,1,1,557.0,2.0,557.0,2.0,0,1,246.814467593,0,0,valid
1,287,2,1,1,287.0,2.0,287.0,2.0,0,1,246.814467593,0,0,valid
1,2572,2,1,1,2572.0,2.0,2572.0,2.0,0,1,246.814467593,0,0,valid
1,1137,2,1,1,1137.0,2.0,1137.0,2.0,0,1,246.814467593,0,0,valid
2,307,10,2,2,153.5,5.0,153.5,5.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,227,6,2,2,113.5,3.0,113.5,3.0,0,2,88.0578009258,0,0,valid
1,239,2,1,1,239.0,2.0,239.0,2.0,0,1,246.814467593,0,0,valid
2,151,10,2,2,75.5,5.0,75.5,5.0,0,2,88.0578009258,0,0,valid
1,163,2,1,1,163.0,2.0,163.0,2.0,0,1,246.814467593,0,0,bugged
1,215,2,1,1,215.0,2.0,215.0,2.0,0,1,246.814467593,0,0,bugged
3,1135,95,3,3,378.333333333,31.6666666667,378.333333333,31.6666666667,0,2,14.9328935184,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,145,41,3,3,48.3333333333,13.6666666667,48.3333333333,13.6666666667,0,2,16.1641087965,0,0,bugged
3,364,33,3,3,121.333333333,11.0,121.333333333,11.0,0,2,16.1641087965,0,0,bugged
1,179,2,1,1,179.0,2.0,179.0,2.0,0,1,4.06728009274,0,0,valid
2,1342,7,2,2,671.0,3.5,671.0,3.5,0,2,88.0578009258,0,0,bugged
