% []
@RELATION base

@ATTRIBUTE methods_Count NUMERIC
@ATTRIBUTE methods_private_Count NUMERIC
@ATTRIBUTE methods_protected_Count NUMERIC
@ATTRIBUTE methods_public_Count NUMERIC
@ATTRIBUTE methods_not_public_Count NUMERIC
@ATTRIBUTE methods_getters_Count NUMERIC
@ATTRIBUTE methods_return_primitive_Count NUMERIC
@ATTRIBUTE methods_return_void_Count NUMERIC
@ATTRIBUTE methods_return_java_Count NUMERIC
@ATTRIBUTE methods_return_all_Count NUMERIC
@ATTRIBUTE methods_return_distinct_primitive_Count NUMERIC
@ATTRIBUTE methods_return_distinct_void_Count NUMERIC
@ATTRIBUTE methods_return_distinct_java_Count NUMERIC
@ATTRIBUTE methods_return_distinct_all_Count NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
17,3.0,0,14.0,3.0,5.0,0.0588235294118,0.0588235294118,0.823529411765,0.0588235294118,0.0588235294118,0.0588235294118,0.352941176471,0.0588235294118,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,1.0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
25,0,0,25.0,0,9.0,0.12,0.48,0.28,0.12,0.04,0.04,0.12,0.04,valid
2,0,0,2.0,0,1.0,0,0,0.5,0,0,0,0.5,0,valid
3,0,2.0,1.0,2.0,0,0,1.0,0,0,0,0.333333333333,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,1.0,0,valid
8,1.0,7.0,0,8.0,1.0,0,0.625,0.25,0,0,0.125,0.25,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,valid
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,0.5,0,valid
2,0,0,1.0,1.0,0,0,0.5,0,0,0,0.5,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,1.0,0,2.0,1.0,2.0,0,0,0.666666666667,0,0,0,0.666666666667,0,valid
14,3.0,0,11.0,3.0,1.0,0,0.285714285714,0.285714285714,0,0,0.0714285714286,0.0714285714286,0,valid
3,1.0,0,2.0,1.0,2.0,0,0,0.666666666667,0,0,0,0.666666666667,0,valid
19,0,1.0,18.0,1.0,0,0,1.0,0,0,0,0.0526315789474,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
8,0,0,8.0,0,0,0,1.0,0,0,0,0.125,0,0,valid
9,0,4.0,5.0,4.0,0,0,0.777777777778,0,0,0,0.111111111111,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
5,1.0,0,4.0,1.0,2.0,0,0.4,0.4,0,0,0.2,0.4,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
7,4.0,2.0,1.0,6.0,0,0,0.857142857143,0.142857142857,0,0,0.142857142857,0.142857142857,0,valid
7,1.0,6.0,0,7.0,1.0,0,0.428571428571,0.285714285714,0,0,0.142857142857,0.285714285714,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,2.0,0,0,0,1.0,0,0,0,0.5,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
11,0,0,11.0,0,3.0,0,0.363636363636,0.181818181818,0,0,0.0909090909091,0.0909090909091,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,0,0,4.0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,valid
7,0,0,7.0,0,1.0,0,0.428571428571,0.428571428571,0,0,0.142857142857,0.285714285714,0,valid
3,0,0,3.0,0,0,0,1.0,0,0,0,0.333333333333,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,1.0,0,valid
5,0,0,5.0,0,3.0,0,0.4,0.2,0,0,0.2,0.2,0,valid
3,0,1.0,2.0,1.0,0,0,1.0,0,0,0,0.333333333333,0,0,valid
8,2.0,0,5.0,3.0,0,0,0.625,0.375,0,0,0.125,0.125,0,valid
3,2.0,0,1.0,2.0,2.0,0,0.333333333333,0.333333333333,0,0,0.333333333333,0.333333333333,0,bugged
20,9.0,3.0,8.0,12.0,5.0,0.2,0.3,0.35,0.2,0.05,0.05,0.05,0.05,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,0,2.0,3.0,2.0,0,0,1.0,0,0,0,0.2,0,0,valid
21,2.0,0,19.0,2.0,9.0,0,0.380952380952,0.238095238095,0,0,0.047619047619,0.0952380952381,0,valid
1,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,1.0,0,valid
5,0,5.0,0,5.0,1.0,0,0.4,0.2,0,0,0.2,0.2,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,1.0,0,valid
3,0,0,3.0,0,1.0,0,0.666666666667,0.333333333333,0,0,0.333333333333,0.333333333333,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
31,6.0,6.0,19.0,12.0,6.0,0,0.774193548387,0.193548387097,0,0,0.0322580645161,0.0645161290323,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,1.0,2.0,1.0,3.0,0,0,1.0,0,0,0,0.25,0,0,valid
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,0.5,0,valid
7,4.0,2.0,1.0,6.0,2.0,0,0.714285714286,0.285714285714,0,0,0.142857142857,0.285714285714,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,0,5.0,0,5.0,1.0,0,0.4,0.4,0,0,0.2,0.4,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,0,3.0,0,3.0,1.0,0,1.0,0,0,0,0.333333333333,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,2.0,0,1.0,0,0,1.0,0,0,0,1.0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
15,5.0,4.0,6.0,9.0,2.0,0,0.666666666667,0.0666666666667,0,0,0.0666666666667,0.0666666666667,0,valid
7,0,4.0,3.0,4.0,1.0,0,0.714285714286,0,0,0,0.142857142857,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,0,0,3.0,0,0,0,1.0,0,0,0,0.333333333333,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,1.0,2.0,1.0,3.0,0,0,1.0,0,0,0,0.25,0,0,valid
7,2.0,5.0,0,7.0,2.0,0,0.285714285714,0.285714285714,0,0,0.142857142857,0.142857142857,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,1.0,1.0,0,0,0,1.0,0,0,0,1.0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,0,0,2.0,0,0,0,1.0,0,0,0,0.5,0,0,valid
1,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,valid
15,7.0,2.0,6.0,9.0,0,0,0.933333333333,0.0666666666667,0,0,0.0666666666667,0.0666666666667,0,valid
8,2.0,5.0,0,8.0,2.0,0,0.5,0.25,0,0,0.125,0.25,0,valid
1,0,1.0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
7,1.0,0,6.0,1.0,1.0,0,0.714285714286,0,0,0,0.142857142857,0,0,valid
9,3.0,1.0,5.0,4.0,0,0,0.777777777778,0,0,0,0.111111111111,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,1.0,0,2.0,1.0,2.0,0,0,0.333333333333,0,0,0,0.333333333333,0,valid
5,0,5.0,0,5.0,1.0,0,0.4,0.4,0,0,0.2,0.4,0,valid
16,8.0,0,8.0,8.0,0,0,0.5,0,0,0,0.0625,0,0,valid
20,0,4.0,16.0,4.0,0,0,0.9,0,0,0,0.05,0,0,valid
15,0,0,15.0,0,8.0,0,0.4,0.6,0,0,0.0666666666667,0.133333333333,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,0,0,1.0,0,0,0,0,1.0,0,0,0,1.0,0,valid
2,0,2.0,0,2.0,0,0,1.0,0,0,0,0.5,0,0,valid
7,1.0,6.0,0,7.0,2.0,0,0.428571428571,0.285714285714,0,0,0.142857142857,0.285714285714,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
