% []
@RELATION base

@ATTRIBUTE Operators_count NUMERIC
@ATTRIBUTE Operands_count NUMERIC
@ATTRIBUTE Distinct_operators NUMERIC
@ATTRIBUTE Distinct_operands NUMERIC
@ATTRIBUTE Program_length NUMERIC
@ATTRIBUTE Program_vocabulary NUMERIC
@ATTRIBUTE Volume NUMERIC
@ATTRIBUTE Difficulty NUMERIC
@ATTRIBUTE Effort NUMERIC
@ATTRIBUTE complexity NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,valid
551,405,29,130,956,159,6991.11610525,43,300617.992526,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
44,30,12,19,74,31,366.610526969,9,3299.49474272,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
111,66,22,39,177,61,1049.74050875,18,18895.3291575,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
296,180,30,68,476,98,3148.6018858,39,122795.473546,0,valid
0,0,0,0,0,0,0,0,0,0,valid
126,93,15,29,219,44,1195.61552448,22,26303.5415386,0,valid
339,218,20,61,557,81,3531.29645161,35,123595.375806,0,valid
2513,1812,41,316,4325,357,36675.0496419,114,4180955.65918,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
484,272,33,79,756,112,5146.36032108,55,283049.817659,0,valid
1387,933,38,218,2320,256,18560.0,81,1503360.0,0,valid
146,119,17,67,265,84,1693.96411704,14,23715.4976385,0,valid
22,16,9,16,38,25,176.466535211,4,705.866140846,0,valid
772,562,35,204,1334,239,10539.7563218,46,484828.790805,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1071,730,41,216,1801,257,14418.1298131,67,966014.697478,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
1354,837,43,248,2191,291,17933.0618763,70,1255314.33134,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
647,459,31,135,1106,166,8156.79361107,51,415996.474165,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
73,49,11,37,122,48,681.365425088,6,4088.19255053,0,bugged
498,278,38,105,776,143,5556.06015734,50,277803.007867,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
176,185,16,72,361,88,2331.85481433,20,46637.0962866,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1149,710,46,241,1859,287,15178.5619767,67,1016963.65244,0,valid
0,0,0,0,0,0,0,0,0,0,valid
776,634,29,170,1410,199,10767.640715,52,559917.317178,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
43,39,8,25,82,33,413.640317787,6,2481.84190672,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,bugged
80,70,16,39,150,55,867.203957029,14,12140.8553984,0,bugged
514,375,27,130,889,157,6484.91784576,37,239941.960293,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
