% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
3,34,18,3,2,11.3333333333,6.0,11.3333333333,9.0,1,1,221.993611111,1128.76224537,1128.76224537,3,34,18,3,2,11.3333333333,6.0,11.3333333333,9.0,1,1,757,39288729.3502,-88391763.8337,1,16,16,1,1,16.0,16.0,16.0,16.0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1457.16361111,0,0,1,6,0,1,0,6.0,0.0,6.0,0,0,1,949,14733269.8733,8742.98166667,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,455.887222223,0,0,1,4,0,1,0,4.0,0.0,4.0,0,0,1,18,9826185.02106,1823.54888889,0,0,0,0,0,0,0,0,0,valid
3,7,1,3,1,2.33333333333,0.333333333333,2.33333333333,1.0,0,3,1224.41987269,0,0,3,7,1,3,1,2.33333333333,0.333333333333,2.33333333333,1.0,0,3,1694,14733928.3827,-4903470.97301,0,0,0,0,0,0,0,0,0,valid
3,25,17,2,2,8.33333333333,5.66666666667,12.5,8.5,0,1,719.609351852,0,0,3,25,17,2,2,8.33333333333,5.66666666667,12.5,8.5,0,1,1834,19640097.9389,-83485363.3857,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1457.15842593,0,0,1,4,0,1,0,4.0,0.0,4.0,0,0,1,1671,9822179.93625,5828.6337037,0,0,0,0,0,0,0,0,0,bugged
1,68,0,1,0,68.0,0.0,68.0,0,0,1,385.068090278,0,0,1,68,0,1,0,68.0,0.0,68.0,0,0,1,274,167049961.059,26184.6301389,0,0,0,0,0,0,0,0,0,valid
2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,1104.71997685,0,0,2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,1822,2454840.10716,-9821427.65472,0,0,0,0,0,0,0,0,0,valid
3,12,3,3,2,4.0,1.0,4.0,1.5,0,1,292.938831019,0,0,3,12,3,3,2,4.0,1.0,4.0,1.5,0,1,1680,22106890.1741,-14733089.1824,0,0,0,0,0,0,0,0,0,valid
