% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,357,8,3,3,119.0,2.66666666667,119.0,2.66666666667,0,2,78.9813425927,0,0,bugged
2,851,6,2,2,425.5,3.0,425.5,3.0,0,2,750.597581019,0,0,valid
2,18,472,2,2,9.0,236.0,9.0,236.0,0,1,144.492905092,144.492905092,144.492905092,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,941,6,3,3,313.666666667,2.0,313.666666667,2.0,0,2,78.9813425927,0,0,valid
1,115,2,1,1,115.0,2.0,115.0,2.0,0,1,771.240092593,0,0,valid
1,1047,2,1,1,1047.0,2.0,1047.0,2.0,0,1,771.240092593,0,0,valid
1,522,2,1,1,522.0,2.0,522.0,2.0,0,1,771.240092593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,750,8,4,4,187.5,2.0,187.5,2.0,0,2,78.9813425927,0,0,bugged
1,937,2,1,1,937.0,2.0,937.0,2.0,0,1,604.571435185,0,0,valid
12,1554,2625,12,12,129.5,218.75,129.5,218.75,0,3,78.9813425927,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,383,2,1,1,383.0,2.0,383.0,2.0,0,1,604.571435185,0,0,valid
2,1416,6,2,2,708.0,3.0,708.0,3.0,0,2,750.597581019,0,0,valid
1,1457,2,1,1,1457.0,2.0,1457.0,2.0,0,1,771.240092593,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,95,208,3,3,31.6666666667,69.3333333333,31.6666666667,69.3333333333,0,2,286.661585648,0,0,valid
1,127,2,1,1,127.0,2.0,127.0,2.0,0,1,536.387962963,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,452,2,1,1,452.0,2.0,452.0,2.0,0,1,604.571435185,0,0,valid
2,1812,82,2,2,906.0,41.0,906.0,41.0,0,2,434.827164352,0,0,valid
6,198,59,6,6,33.0,9.83333333333,33.0,9.83333333333,0,2,78.9813425927,0,0,bugged
