% []
@RELATION base

@ATTRIBUTE Operators_count NUMERIC
@ATTRIBUTE Operands_count NUMERIC
@ATTRIBUTE Distinct_operators NUMERIC
@ATTRIBUTE Distinct_operands NUMERIC
@ATTRIBUTE Program_length NUMERIC
@ATTRIBUTE Program_vocabulary NUMERIC
@ATTRIBUTE Volume NUMERIC
@ATTRIBUTE Difficulty NUMERIC
@ATTRIBUTE Effort NUMERIC
@ATTRIBUTE complexity NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,valid
382,267,34,78,649,112,4417.97334442,58,256242.453976,0,valid
47,44,12,27,91,39,480.971601916,9,4328.74441725,0,valid
1270,702,33,75,1972,108,13320.6381543,149,1984775.08499,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
301,206,32,66,507,98,3353.65789097,49,164329.236657,0,valid
2286,1241,25,106,3527,131,24806.8829264,140,3472963.6097,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
104,83,15,25,187,40,995.200553744,23,22889.6127361,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1471,1020,24,129,2491,153,18078.1531161,94,1699346.39292,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
388,214,35,82,602,117,4135.95956119,44,181982.220692,0,valid
0,0,0,0,0,0,0,0,0,0,valid
13531,8857,49,824,22388,873,218727.129643,257,56212872.3183,0,valid
167,147,16,37,314,53,1798.56702273,31,55755.5777047,0,valid
451,254,35,69,705,104,4723.81000129,62,292876.22008,0,valid
0,0,0,0,0,0,0,0,0,0,valid
1475,954,41,189,2429,230,19056.6953337,100,1905669.53337,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
111,120,17,37,231,54,1329.379013,25,33234.475325,0,valid
43,44,8,24,87,32,435.0,7,3045.0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
49,35,14,19,84,33,423.729106026,12,5084.74927231,0,valid
0,0,0,0,0,0,0,0,0,0,valid
111,82,15,32,193,47,1072.03564837,17,18224.6060224,0,valid
275,199,32,59,474,91,3084.69465945,53,163488.816951,0,valid
0,0,0,0,0,0,0,0,0,0,valid
337,215,30,68,552,98,3651.31983395,47,171612.032196,0,valid
1907,1338,45,198,3245,243,25716.0165742,148,3805970.45298,0,valid
555,421,38,114,976,152,7073.97725312,70,495178.407718,0,valid
47,39,16,25,86,41,460.749472397,12,5528.99366877,0,valid
0,0,0,0,0,0,0,0,0,0,valid
414,266,31,89,680,120,4696.68560501,44,206654.166621,0,valid
0,0,0,0,0,0,0,0,0,0,valid
383,258,24,43,641,67,3888.36317108,72,279962.148318,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
49,40,15,26,89,41,476.822128411,10,4768.22128411,0,valid
86,63,27,32,149,59,876.513814355,25,21912.8453589,0,valid
60,53,9,26,113,35,579.608980915,8,4636.87184732,0,valid
146,109,24,43,255,67,1546.85274357,30,46405.582307,0,valid
0,0,0,0,0,0,0,0,0,0,valid
31,23,11,18,54,29,262.330973737,6,1573.98584242,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
646,402,32,123,1048,155,7625.37837673,52,396519.67559,0,valid
0,0,0,0,0,0,0,0,0,0,valid
128,96,17,28,224,45,1230.17509358,27,33214.7275266,0,valid
106,77,18,31,183,49,1027.49190147,22,22604.8218324,0,valid
416,236,35,64,652,99,4322.34051629,62,267985.11201,0,valid
146,109,24,43,255,67,1546.85274357,30,46405.582307,0,valid
298,201,27,52,499,79,3145.58659334,50,157279.329667,0,valid
0,0,0,0,0,0,0,0,0,0,valid
116,82,19,28,198,47,1099.80859263,26,28595.0234084,0,valid
962,628,28,99,1590,127,11112.008652,88,977856.761373,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
54,45,17,25,99,42,533.839424855,14,7473.75194797,0,valid
440,303,30,105,743,135,5258.07398861,43,226097.18151,0,valid
54,43,11,26,97,37,505.316976466,8,4042.53581173,0,valid
426,271,21,55,697,76,4354.80547687,49,213385.468367,0,valid
918,599,31,122,1517,153,11009.4573574,73,803690.387088,0,valid
53,48,18,27,101,45,554.677162729,16,8874.83460367,0,valid
130,105,20,38,235,58,1376.62553385,27,37168.8894141,0,valid
0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,valid
414,226,37,74,640,111,4348.42615446,54,234815.012341,0,valid
0,0,0,0,0,0,0,0,0,0,valid
