% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,41,20,3,2,13.6666666667,6.66666666667,13.6666666667,10.0,0,2,1026.4181713,0,0,3,41,20,3,2,13.6666666667,6.66666666667,13.6666666667,10.0,0,2,626,51499751.1975,-98061558.0023,valid
1,58,0,1,0,58.0,0.0,58.0,0,0,1,1038.64622685,0,0,1,58,0,1,0,58.0,0.0,58.0,0,0,1,33,142289783.733,60241.4811574,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1933.9581713,0,0,2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1174,9809470.67875,-19611242.1316,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,329.581736111,0,0,1,11,0,1,0,11.0,0.0,11.0,0,0,1,26,26993793.1761,3625.39909722,valid
2,4,2,1,1,2.0,1.0,4.0,2.0,0,1,1817.29894676,0,0,2,4,2,1,1,2.0,1.0,4.0,2.0,0,1,157,4904588.19303,-9805940.55637,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,938.058842592,0,0,1,6,0,1,0,6.0,0.0,6.0,0,0,1,80,14720236.3243,5628.35305555,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1034.68140046,0,0,1,11,0,1,0,11.0,0.0,11.0,0,0,1,83,26986037.0798,11381.4954051,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1566.61736111,0,0,1,4,0,1,0,4.0,0.0,4.0,0,0,1,120,9810976.6488,6266.46944444,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.46191,-14708432.0516,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1266.71915509,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,12,7359132.18122,3800.15746528,valid
