% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
5,47,33,5,4,9.4,6.6,9.4,8.25,0,3,95,34388637.7106,-162121366.54,0,0,0,0,0,0,0,0,0,valid
5,73,54,5,4,14.6,10.8,14.6,13.5,0,3,95,46670195.0949,-265289772.265,0,0,0,0,0,0,0,0,0,valid
5,52,44,4,4,10.4,8.8,13.0,11.0,0,3,95,19649962.9678,-216162397.842,0,0,0,0,0,0,0,0,0,valid
6,49,38,6,5,8.16666666667,6.33333333333,8.16666666667,7.6,0,3,97,27019366.4419,-186685498.64,0,0,0,0,0,0,0,0,0,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,19,29476998.1767,327.071527783,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,19,19651323.9811,226.184351854,0,0,0,0,0,0,0,0,0,valid
4,91,15,4,3,22.75,3.75,22.75,5.0,0,2,162,186686674.655,-73689410.4918,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,14,6,2,1,7.0,3.0,7.0,6.0,0,2,41,19651306.5944,-29476730.7874,0,0,0,0,0,0,0,0,0,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,103,19651273.888,276.2775,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,77,7369180.45066,150.861388889,0,0,0,0,0,0,0,0,0,valid
3,59,27,3,2,19.6666666667,9.0,19.6666666667,13.5,0,2,55,78604234.2297,-132644684.502,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,77,7369180.45066,150.861388889,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,28,12281996.8484,222.004976854,0,0,0,0,0,0,0,0,0,valid
2,7,2,2,1,3.5,1.0,3.5,2.0,0,2,73,12281849.2824,-9825152.45084,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,77,17194754.3849,352.00990741,1,7,0,1,0,7.0,0.0,7.0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,103,14738455.416,207.208125001,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,56,7369109.56944,-14738048.4693,0,0,0,0,0,0,0,0,0,valid
4,12,4,4,3,3.0,1.0,3.0,1.33333333333,2,2,126,19651016.5192,-19650649.7403,2,4,3,2,2,2.0,1.5,2.0,1.5,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,24,17194517.6393,588.755497683,1,7,0,1,0,7.0,0.0,7.0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,6,17194991.8631,114.531666666,0,0,0,0,0,0,0,0,0,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,103,31933320.0679,448.950937502,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,17,7369197.72941,133.582638889,0,0,0,0,0,0,0,0,0,valid
2,5,0,2,0,2.5,0.0,2.5,0,0,1,117,12282052.4337,166.4196875,0,0,0,0,0,0,0,0,0,valid
2,33,1,2,1,16.5,0.5,16.5,1.0,0,2,142,78604876.37,-4911494.18014,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,33,7369269.71045,-4912791.0909,0,0,0,0,0,0,0,0,0,valid
8,127,49,8,7,15.875,6.125,15.875,7.0,0,3,171,191598090.59,-240723486.501,0,0,0,0,0,0,0,0,0,valid
2,46,11,1,1,23.0,5.5,46.0,11.0,1,2,89,85972628.7605,-54037753.4247,1,0,11,0,1,0.0,11.0,0,11.0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,12,7369228.75844,102.553611112,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,52,7369109.56944,221.742604167,0,0,0,0,0,0,0,0,0,valid
