% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,1064,1044,2,2,532.0,522.0,532.0,522.0,0,1,151,49080665.4675,-5124017084.61,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
14,613,376,14,14,43.7857142857,26.8571428571,43.7857142857,26.8571428571,0,6,216,581138346.583,-1844186021.0,valid
26,15010,7281,26,26,577.307692308,280.038461538,577.307692308,280.038461538,1,6,232,18954695810.6,-35698356041.2,valid
5,199,64,5,5,39.8,12.8,39.8,12.8,0,2,39,331172975.917,-313845347.273,valid
3,46,51,3,3,15.3333333333,17.0,15.3333333333,17.0,0,1,183,-12269050.9075,-250312081.853,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,150,17178638.8902,-88345749.1546,valid
7,1754,889,7,7,250.571428571,127.0,250.571428571,127.0,1,1,184,2122688727.43,-4363077935.05,valid
3,574,35,3,3,191.333333333,11.6666666667,191.333333333,11.6666666667,0,2,5,1322623764.11,-171535452.454,valid
12,2651,1274,12,12,220.916666667,106.166666667,220.916666667,106.166666667,0,6,231,3376816885.33,-6246352371.1,valid
11,1937,978,11,11,176.090909091,88.9090909091,176.090909091,88.9090909091,0,6,315,2351720755.26,-4795226144.74,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
5,2358,40,5,5,471.6,8.0,471.6,8.0,0,3,198,5686696373.71,-193914694.809,valid
56,29365,14461,56,56,524.375,258.232142857,524.375,258.232142857,2,6,233,36552398042.5,-70907581256.4,valid
12,1529,753,12,12,127.416666667,62.75,127.416666667,62.75,0,6,215,1902937115.3,-3692033241.99,valid
4,2832,24,4,4,708.0,6.0,708.0,6.0,0,3,198,6888801661.81,-114880547.778,valid
3,51,25,3,3,17.0,8.33333333333,17.0,8.33333333333,0,1,181,63804168.9312,-122695020.659,valid
11,730,385,11,11,66.3636363636,35.0,66.3636363636,35.0,0,6,231,845965993.386,-1887938404.15,valid
10,606,346,10,10,60.6,34.6,60.6,34.6,0,6,231,637514683.567,-1696805177.91,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
3,32,25,3,3,10.6666666667,8.33333333333,10.6666666667,8.33333333333,0,1,181,17178638.8902,-122701384.92,valid
15,604,325,15,15,40.2666666667,21.6666666667,40.2666666667,21.6666666667,0,6,231,684174572.648,-1593840387.66,valid
4,2536,209,4,4,634.0,52.25,634.0,52.25,0,2,198,5708766634.89,-1023078454.95,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
4,570,215,4,4,142.5,53.75,142.5,53.75,0,4,199,870679060.462,-1054245172.94,valid
19,2013,1043,19,19,105.947368421,54.8947368421,105.947368421,54.8947368421,0,4,200,2379243077.13,-5115760642.59,valid
10,2631,1291,10,10,263.1,129.1,263.1,129.1,0,6,231,3286072479.05,-6329695495.66,valid
2,48,41,2,2,24.0,20.5,24.0,20.5,0,1,152,17178638.8902,-201233227.169,valid
9,1889,967,9,9,209.888888889,107.444444444,209.888888889,107.444444444,1,6,231,2260983710.54,-4741345537.87,valid
2,209,17,2,2,104.5,8.5,104.5,8.5,0,2,197,471049650.687,-83257536.6113,valid
10,968,543,10,10,96.8,54.3,96.8,54.3,0,6,315,1042155229.92,-2662688886.85,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,150,17178638.8902,-88345749.1546,valid
3,196,189,3,3,65.3333333333,63.0,65.3333333333,63.0,0,1,181,17178638.8902,-927643867.074,valid
6,605,28,6,6,100.833333333,4.66666666667,100.833333333,4.66666666667,0,3,198,1415544481.94,-136820516.138,valid
13,5615,2701,13,13,431.923076923,207.769230769,431.923076923,207.769230769,0,6,231,7146102162.74,-13242616591.4,valid
4,1695,1679,4,4,423.75,419.75,423.75,419.75,0,1,181,39264770.8963,-8240638002.54,valid
24,3010,1643,24,24,125.416666667,68.4583333333,125.416666667,68.4583333333,0,7,202,3353025114.56,-8059637262.11,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,150,17178638.8902,-88345749.1546,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
20,2216,1046,20,20,110.8,52.3,110.8,52.3,0,5,201,2870270975.24,-5130888994.67,valid
11,540,317,11,11,49.0909090909,28.8181818182,49.0909090909,28.8181818182,0,6,231,546770395.111,-1554639003.84,valid
10,1039,534,10,10,103.9,53.4,103.9,53.4,0,6,215,1238345067.55,-2618405970.28,valid
10,1950,292,10,10,195.0,29.2,195.0,29.2,0,5,200,4067173293.9,-1430564288.1,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,32,25,2,2,16.0,12.5,16.0,12.5,0,1,181,17178638.8902,-122702323.467,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,150,17178638.8902,-88345749.1546,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
3,400,20,3,3,133.333333333,6.66666666667,133.333333333,6.66666666667,0,2,199,932245801.467,-97763819.2832,valid
19,2399,982,19,19,126.263157895,51.6842105263,126.263157895,51.6842105263,0,6,200,3475577035.51,-4815600446.04,valid
3,36,23,3,3,12.0,7.66666666667,12.0,7.66666666667,0,1,181,31902497.0862,-112883492.29,valid
2,179,6,2,2,89.5,3.0,89.5,3.0,0,1,2,424550879.009,-29403730.1084,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
14,2914,1324,14,14,208.142857143,94.5714285714,208.142857143,94.5714285714,0,6,215,3899373519.73,-6491321065.93,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
3,36,25,3,3,12.0,8.33333333333,12.0,8.33333333333,0,1,182,26994539.9971,-122700053.509,valid
5,1542,791,5,5,308.4,158.2,308.4,158.2,0,3,197,1842836970.88,-3881807327.73,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
14,2912,1485,14,14,208.0,106.071428571,208.0,106.071428571,0,6,231,3499431727.1,-7281166828.27,valid
10,504,293,10,10,50.4,29.3,50.4,29.3,0,6,231,517348149.491,-1436935951.31,valid
11,1312,688,11,11,119.272727273,62.5454545455,119.272727273,62.5454545455,0,6,231,1530176606.56,-3373533547.25,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
10,941,524,10,10,94.1,52.4,94.1,52.4,0,6,315,1022536471.6,-2569516605.77,valid
3,73,65,3,3,24.3333333333,21.6666666667,24.3333333333,21.6666666667,0,1,181,19632730.1603,-319029302.641,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
10,1932,966,10,10,193.2,96.6,193.2,96.6,0,6,215,2368886865.61,-4736364072.64,valid
9,3328,2577,9,9,369.777777778,286.333333333,369.777777778,286.333333333,1,5,198,1842141653.09,-12642968245.7,valid
9,2738,128,9,9,304.222222222,14.2222222222,304.222222222,14.2222222222,0,3,199,6403346382.16,-625716288.522,valid
3,40,29,3,3,13.3333333333,9.66666666667,13.3333333333,9.66666666667,0,1,182,26994539.9971,-142331855.723,valid
4,208,24,4,4,52.0,6.0,52.0,6.0,0,3,198,451400688.307,-117590960.572,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
10,1375,713,10,10,137.5,71.3,137.5,71.3,0,6,315,1623366944.2,-3496037065.64,valid
3,208,75,3,3,69.3333333333,25.0,69.3333333333,25.0,1,1,181,326389097.178,-368074429.045,valid
5,911,58,5,5,182.2,11.6,182.2,11.6,0,3,198,2092728335.26,-283821675.269,valid
6,225,266,6,6,37.5,44.3333333333,37.5,44.3333333333,1,1,181,-100613316.487,-1305546655.11,valid
2,965,205,2,2,482.5,102.5,482.5,102.5,0,2,4,1864516034.57,-1005405747.13,valid
10,512,297,10,10,51.2,29.7,51.2,29.7,0,6,231,527157621.252,-1456559590.22,valid
13,1003,590,13,13,77.1538461538,45.3846153846,77.1538461538,45.3846153846,0,7,231,1012727253.32,-2893288567.42,valid
10,812,459,10,10,81.2,45.9,81.2,45.9,0,6,315,865584794.312,-2250829521.38,valid
1,9,9,1,1,9.0,9.0,9.0,9.0,0,1,8,0.0,-44171534.6967,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
3,250,204,3,3,83.3333333333,68.0,83.3333333333,68.0,0,1,181,112883875.062,-1001253658.82,valid
3,33,26,3,3,11.0,8.66666666667,11.0,8.66666666667,0,1,181,17178638.8902,-127610017.909,valid
11,1516,626,11,11,137.818181818,56.9090909091,137.818181818,56.9090909091,0,7,231,2182571736.53,-3068967388.23,valid
12,2288,1129,12,12,190.666666667,94.0833333333,190.666666667,94.0833333333,0,6,231,2842197712.54,-5535602184.77,valid
2,590,205,2,2,295.0,102.5,295.0,102.5,0,2,4,944476370.244,-1005732625.13,valid
7,1277,759,7,7,182.428571429,108.428571429,182.428571429,108.428571429,0,6,199,1270459414.98,-3722901145.71,valid
16,6089,4220,16,16,380.5625,263.75,380.5625,263.75,2,1,182,4586494864.34,-20710960445.5,valid
2,646,630,2,2,323.0,315.0,323.0,315.0,0,1,151,39264532.374,-3092078412.3,valid
3,36,25,3,3,12.0,8.33333333333,12.0,8.33333333333,0,1,181,26994544.3542,-122700066.581,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
9,1371,671,9,9,152.333333333,74.5555555556,152.333333333,74.5555555556,0,6,231,1716557209.99,-3290003879.56,valid
4,1087,24,4,4,271.75,6.0,271.75,6.0,0,3,198,2607834870.52,-116686066.822,valid
10,717,383,10,10,71.7,38.3,71.7,38.3,0,6,231,818989938.351,-1878150805.33,valid
3,32,25,3,3,10.6666666667,8.33333333333,10.6666666667,8.33333333333,0,1,181,17178638.8902,-122701404.235,valid
3,32,25,3,3,10.6666666667,8.33333333333,10.6666666667,8.33333333333,0,1,181,17178638.8902,-122701404.235,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
17,2106,991,17,17,123.882352941,58.2941176471,123.882352941,58.2941176471,1,7,203,2734881423.58,-4860261764.37,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
4,299,22,4,4,74.75,5.5,74.75,5.5,0,2,199,679558774.748,-107683891.643,valid
12,1026,566,12,12,85.5,47.1666666667,85.5,47.1666666667,0,6,231,1127988292.85,-2775531810.57,valid
10,1188,601,10,10,118.8,60.1,118.8,60.1,0,6,231,1439437518.81,-2946861763.3,valid
12,2115,1070,12,12,176.25,89.1666666667,176.25,89.1666666667,0,6,231,2562624590.24,-5246355944.54,valid
5,1147,108,5,5,229.4,21.6,229.4,21.6,0,2,197,2549079102.68,-529017242.442,valid
20,5735,2940,20,20,286.75,147.0,286.75,147.0,0,6,232,6854247359.13,-14415116163.0,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
16,1460,781,16,16,91.25,48.8125,91.25,48.8125,0,6,200,1665310934.97,-3830623271.7,valid
4,575,215,4,4,143.75,53.75,143.75,53.75,0,4,199,882942781.273,-1054237339.85,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
2,864,844,2,2,432.0,422.0,432.0,422.0,0,1,151,49080665.4675,-4142403775.26,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,150,17178638.8902,-88345749.1546,valid
8,408,269,8,8,51.0,33.625,51.0,33.625,0,6,231,340777486.311,-1319342706.43,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
2,1044,1024,2,2,522.0,512.0,522.0,512.0,0,1,151,49080665.4675,-5025855753.68,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
6,763,38,6,6,127.166666667,6.33333333333,127.166666667,6.33333333333,0,3,196,1778722222.41,-185835045.678,valid
10,1342,708,10,10,134.2,70.8,134.2,70.8,0,6,315,1554700667.75,-3471567722.81,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,150,17178638.8902,-88345749.1546,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
11,594,345,11,11,54.0,31.3636363636,54.0,31.3636363636,0,6,231,610538664.532,-1691940690.69,valid
10,1042,563,10,10,104.2,56.3,104.2,56.3,0,6,315,1174583038.33,-2760678913.98,valid
10,609,344,10,10,60.9,34.4,60.9,34.4,0,6,215,649776611.23,-1686968908.93,valid
7,1088,763,7,7,155.428571429,109.0,155.428571429,109.0,0,5,199,797086944.168,-3742707830.06,valid
4,34,201,4,4,8.5,50.25,8.5,50.25,0,1,181,-409830517.077,-986577009.209,valid
3,41,30,3,3,13.6666666667,10.0,13.6666666667,10.0,0,1,182,26994539.9971,-147240038.263,valid
5,721,37,5,5,144.2,7.4,144.2,7.4,0,2,149,1678179931.96,-181006675.437,valid
5,1386,28,5,5,277.2,5.6,277.2,5.6,0,3,198,3331551319.48,-136012624.095,valid
17,3752,3573,17,17,220.705882353,210.176470588,220.705882353,210.176470588,0,6,231,437718571.767,-17525800412.9,valid
8,620,262,8,8,77.5,32.75,77.5,32.75,0,4,200,878171898.449,-1284968615.77,valid
8,1929,1287,8,8,241.125,160.875,241.125,160.875,0,5,198,1574908083.3,-6313691164.64,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,139,0.0,-14723844.1525,valid
4,817,24,4,4,204.25,6.0,204.25,6.0,0,3,198,1945430718.35,-116945725.861,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
13,2345,1165,13,13,180.384615385,89.6153846154,180.384615385,89.6153846154,0,6,231,2893694381.09,-5712102264.42,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,181,17178638.8902,-103069593.307,valid
