% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,1740,40,3,3,580.0,13.3333333333,580.0,13.3333333333,0,3,64,4170728783.19,-193425874.55,valid
1,187,2,1,1,187.0,2.0,187.0,2.0,0,1,28,453995949.722,-9628344.7909,valid
1,211,2,1,1,211.0,2.0,211.0,2.0,0,1,58,512789137.095,-9498416.68118,valid
4,667,57,4,4,166.75,14.25,166.75,14.25,0,2,131,1496579827.68,-278760231.844,valid
1,139,2,1,1,139.0,2.0,139.0,2.0,0,1,58,336134506.134,-9607184.73285,valid
4,792,14,4,4,198.0,3.5,198.0,3.5,0,2,133,1909250265.46,-67937170.0388,valid
4,848,85,4,4,212.0,21.25,212.0,21.25,0,3,157,1872296365.09,-416281875.656,valid
1,1367,2,1,1,1367.0,2.0,1367.0,2.0,0,1,23,3349526232.59,-8202254.46905,valid
3,559,55,3,3,186.333333333,18.3333333333,186.333333333,18.3333333333,0,2,131,1236516671.8,-269115827.665,valid
4,106,65,4,4,26.5,16.25,26.5,16.25,0,2,153,100616795.493,-318985562.864,valid
4,209,10,4,4,52.25,2.5,52.25,2.5,0,2,132,488354879.224,-48881498.3034,valid
1,677,2,1,1,677.0,2.0,677.0,2.0,0,1,58,1656137165.26,-8794445.68012,valid
5,102,91,5,5,20.4,18.2,20.4,18.2,0,2,153,26994541.7595,-446625534.05,valid
