% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
5,897,87,5,5,179.4,17.4,179.4,17.4,4,2,78.2213078705,78.2213078705,78.2213078705,valid
1,211,2,1,1,211.0,2.0,211.0,2.0,0,1,833.530914352,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,61,8,2,2,30.5,4.0,30.5,4.0,0,2,830.295381945,0,0,valid
2,8,6,2,2,4.0,3.0,4.0,3.0,0,2,64.1318402779,0,0,valid
1,67,2,1,1,67.0,2.0,67.0,2.0,0,1,840.423171296,0,0,valid
2,536,6,2,2,268.0,3.0,268.0,3.0,1,1,188.228645833,188.228645833,188.228645833,valid
1,75,2,1,1,75.0,2.0,75.0,2.0,0,1,840.423171296,0,0,valid
23,3902,974,23,23,169.652173913,42.347826087,169.652173913,42.347826087,0,9,9.28922453709,0,0,valid
7,521,138,7,7,74.4285714286,19.7142857143,74.4285714286,19.7142857143,0,5,229.20412037,0,0,valid
1,147,2,1,1,147.0,2.0,147.0,2.0,0,1,586.554803241,0,0,valid
1,303,2,1,1,303.0,2.0,303.0,2.0,0,1,223.973391204,0,0,valid
2,291,78,2,2,145.5,39.0,145.5,39.0,1,2,83.4135879627,83.4135879627,83.4135879627,valid
1,40,24,1,1,40.0,24.0,40.0,24.0,0,1,26.2729861112,0,0,valid
2,940,4,2,2,470.0,2.0,470.0,2.0,0,1,831.440856481,0,0,valid
5,283,40,5,5,56.6,8.0,56.6,8.0,4,3,27.3017129628,27.3017129628,27.3017129628,valid
2,359,10,2,2,179.5,5.0,179.5,5.0,0,1,62.204837963,0,0,valid
22,2263,490,22,22,102.863636364,22.2727272727,102.863636364,22.2727272727,13,5,0.415717592463,0.415717592463,0.415717592463,bugged
3,668,62,3,3,222.666666667,20.6666666667,222.666666667,20.6666666667,2,1,200.308645833,200.308645833,200.308645833,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
11,956,651,11,11,86.9090909091,59.1818181818,86.9090909091,59.1818181818,0,3,469.505231482,0,0,valid
1,837,2,1,1,837.0,2.0,837.0,2.0,0,1,20.1865277779,0,0,valid
1,143,2,1,1,143.0,2.0,143.0,2.0,0,1,235.164224537,0,0,valid
7,1000,220,7,7,142.857142857,31.4285714286,142.857142857,31.4285714286,6,2,27.3017129628,27.3017129628,27.3017129628,valid
7,818,110,7,7,116.857142857,15.7142857143,116.857142857,15.7142857143,6,4,21.5778472223,35.3496874999,35.3496874999,bugged
2,175,4,2,2,87.5,2.0,87.5,2.0,1,1,210.299224537,210.299224537,210.299224537,valid
1,175,2,1,1,175.0,2.0,175.0,2.0,0,1,19.322974537,0,0,valid
4,914,14,4,4,228.5,3.5,228.5,3.5,0,2,62.204837963,0,0,valid
1,151,2,1,1,151.0,2.0,151.0,2.0,0,1,307.365069444,0,0,valid
1,44,44,1,1,44.0,44.0,44.0,44.0,0,1,190.967638889,0,0,valid
2,939,10,2,2,469.5,5.0,469.5,5.0,0,2,12.2495833333,0,0,valid
6,4270,1940,6,6,711.666666667,323.333333333,711.666666667,323.333333333,0,2,21.4059953704,0,0,valid
4,108,59,4,4,27.0,14.75,27.0,14.75,1,3,132.000092593,132.000092593,132.000092593,valid
1,207,2,1,1,207.0,2.0,207.0,2.0,0,1,207.199270833,207.199270833,207.199270833,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,187.425358796,187.425358796,187.425358796,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,115,2,1,1,115.0,2.0,115.0,2.0,0,1,840.423171296,0,0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,190.967638889,0,0,valid
26,6537,2170,26,26,251.423076923,83.4615384615,251.423076923,83.4615384615,9,15,13.1307754628,13.1307754628,13.1307754628,bugged
3,325,18,3,3,108.333333333,6.0,108.333333333,6.0,2,2,60.3659027778,60.3659027778,60.3659027778,valid
17,1099,114,17,17,64.6470588235,6.70588235294,64.6470588235,6.70588235294,0,5,21.4059953704,0,0,valid
10,831,262,10,10,83.1,26.2,83.1,26.2,3,6,151.456527778,151.456527778,151.456527778,valid
2,183,10,2,2,91.5,5.0,91.5,5.0,1,1,13.2089467593,13.2089467593,13.2089467593,valid
3,80,18,3,3,26.6666666667,6.0,26.6666666667,6.0,2,2,63.3278356483,63.3278356483,63.3278356483,valid
2,257,22,2,2,128.5,11.0,128.5,11.0,1,1,78.3061921294,78.3061921294,78.3061921294,valid
3,1495,94,3,3,498.333333333,31.3333333333,498.333333333,31.3333333333,0,1,221.392233796,0,0,valid
4,64,18,4,4,16.0,4.5,16.0,4.5,2,2,18.5244328701,57.4293981483,57.4293981483,valid
28,2757,503,28,28,98.4642857143,17.9642857143,98.4642857143,17.9642857143,10,17,6.34247685177,14.4168171296,14.4168171296,bugged
2,119,10,2,2,59.5,5.0,59.5,5.0,0,1,469.505231482,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
15,2790,864,15,15,186.0,57.6,186.0,57.6,0,3,21.5778472223,0,0,valid
13,609,100,13,13,46.8461538462,7.69230769231,46.8461538462,7.69230769231,12,5,35.3496874999,35.3496874999,35.3496874999,bugged
42,6484,2542,42,42,154.380952381,60.5238095238,154.380952381,60.5238095238,20,13,11.9586111112,11.9586111112,11.9586111112,bugged
1,8,8,1,1,8.0,8.0,8.0,8.0,0,1,190.967638889,190.967638889,190.967638889,valid
6,379,50,6,6,63.1666666667,8.33333333333,63.1666666667,8.33333333333,0,3,21.4059953704,0,0,valid
2,218,31,2,2,109.0,15.5,109.0,15.5,0,1,833.530914352,0,0,valid
5,1877,92,5,5,375.4,18.4,375.4,18.4,4,5,69.9057638887,69.9057638887,69.9057638887,valid
4,80,52,4,4,20.0,13.0,20.0,13.0,3,1,60.4060879629,60.4060879629,60.4060879629,bugged
1,143,2,1,1,143.0,2.0,143.0,2.0,0,1,21.1859375001,21.1859375001,21.1859375001,valid
1,16,16,1,1,16.0,16.0,16.0,16.0,0,1,217.459097222,217.459097222,217.459097222,valid
14,2220,411,14,14,158.571428571,29.3571428571,158.571428571,29.3571428571,0,5,40.4612268517,0,0,valid
2,203,6,2,2,101.5,3.0,101.5,3.0,0,2,88.5609606481,0,0,valid
1,99,2,1,1,99.0,2.0,99.0,2.0,0,1,840.423171296,0,0,valid
1,175,2,1,1,175.0,2.0,175.0,2.0,0,1,235.164224537,0,0,valid
1,782,2,1,1,782.0,2.0,782.0,2.0,0,1,21.5778472223,0,0,valid
2,951,32,2,2,475.5,16.0,475.5,16.0,1,2,120.381759259,134.192476852,134.192476852,valid
2,187,22,2,2,93.5,11.0,93.5,11.0,0,2,191.411226852,0,0,valid
15,1527,953,15,15,101.8,63.5333333333,101.8,63.5333333333,13,7,27.3017129628,27.3017129628,27.3017129628,bugged
2,111,6,2,2,55.5,3.0,55.5,3.0,0,1,116.3503125,0,0,valid
1,263,2,1,1,263.0,2.0,263.0,2.0,0,1,187.470405092,187.470405092,187.470405092,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,359,2,1,1,359.0,2.0,359.0,2.0,0,1,114.811770833,0,0,valid
1,107,2,1,1,107.0,2.0,107.0,2.0,0,1,214.236064815,214.236064815,214.236064815,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
