% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,8,0,1,0,8.0,0.0,8.0,0,0,1,22,19647050.9054,136.440092593,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,139,17191260.4563,28.4709606469,valid
2,19,1,2,1,9.5,0.5,9.5,1.0,0,2,1853,44201728.8669,-4907178.06035,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,21,22102676.8923,408.871354166,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,139,31926626.5617,52.8746412061,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,1466,29467819.2446,2961.77361111,valid
2,9,1,2,1,4.5,0.5,4.5,1.0,0,2,1853,19645212.8297,-4909646.20502,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1466,17189561.226,1727.70127315,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1466,12278258.0186,1234.07233796,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1466,17189561.226,1727.70127315,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,86,9823529.0163,64.656435186,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,1466,19645212.8297,1974.51574074,valid
1,8,2,1,1,8.0,2.0,8.0,2.0,0,1,19,14735262.1013,-9823379.65977,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1466,22100864.4334,2221.33020834,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1466,22100864.4334,2221.33020834,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,2,1,2,1,1.0,0.5,1.0,1.0,1,2,677,2455803.35713,-4911525.65971,valid
1,18,0,1,0,18.0,0.0,18.0,0,0,1,1466,44201728.8669,4442.66041667,valid
2,28,2,2,1,14.0,1.0,14.0,2.0,0,2,1853,63846941.6966,-9816824.26537,valid
4,88,15,4,3,22.0,3.75,22.0,5.0,1,2,1868,179263052.866,-73658249.6231,bugged
3,21,16,3,3,7.0,5.33333333333,7.0,5.33333333333,1,2,743,12279235.6741,-78586932.3074,bugged
3,5,2,2,2,1.66666666667,0.666666666667,2.5,1.0,0,2,1868,7366722.92957,-9822415.36637,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,1466,31923470.8483,3208.58807871,valid
1,0,1,0,1,0.0,1.0,0,1.0,0,1,68,-2455883.48529,-4911781.90347,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,139,24558943.509,40.6728009284,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,0,13,0,1,0.0,13.0,0,13.0,0,1,91,-31926210.0291,-63852889.4655,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,16,8,2,1,8.0,4.0,8.0,8.0,1,2,677,19646426.857,-39292205.2777,valid
2,5,1,2,1,2.5,0.5,2.5,1.0,1,1,127,9823536.05023,-4911711.0528,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,1466,19645212.8297,1974.51574074,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,1466,19645212.8297,1974.51574074,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,1466,31923470.8483,3208.58807871,valid
2,34,29,2,2,17.0,14.5,17.0,14.5,1,2,681,12279476.6201,-142441573.468,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,0,1,0,1,0.0,1.0,0,1.0,0,1,26,-2455785.4426,-4911683.86079,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,20,1,2,1,10.0,0.5,10.0,1.0,0,2,1853,46657380.4706,-4906931.24588,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,21,7367558.9641,136.290451389,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,14,1,2,1,7.0,0.5,7.0,1.0,0,2,1853,31923470.8483,-4908412.13269,valid
4,44,18,4,4,11.0,4.5,11.0,4.5,2,2,856,63852549.8714,-88408760.9961,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,16,16,4,4,4.0,4.0,4.0,4.0,3,3,134,-94.8035648167,-78586571.3291,valid
2,52,2,2,1,26.0,1.0,26.0,2.0,0,2,680,122790503.217,-9818823.7494,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
